ID,raw_text,raw_text_no_lbls,corrected_text,corrected_text_no_lbls,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
DSC_0085," Fuí MISSPELLED con mí MISSPELLED familia a Veracruz  , me la pase muy bien  , en la playa  , bebiendo algo de alcohol y fuimos a la graduación de unos cadetes y conocimos a varios funcionarios de política y de la Marina"," Fuí con mí familia a Veracruz  , me la pase muy bien  , en la playa  , bebiendo algo de alcohol y fuimos a la graduación de unos cadetes y conocimos a varios funcionarios de política y de la Marina"," Fuí MISSPELLED con mí MISSPELLED familia a Veracruz  , me la pase muy bien  , en la playa  , bebiendo algo de alcohol y fuimos a la graduación de unos cadetes y conocimos a varios funcionarios de política y de la Marina"," Fui con mi familia a Veracruz  , me la pase muy bien  , en la playa  , bebiendo algo de alcohol y fuimos a la graduación de unos cadetes y conocimos a varios funcionarios de política y de la Marina",0,1,1,0,0
DSC_0084, - Mi entrada a la Universidad   - Creación de empresa familiar   - mi interes MISSPELLED por emprender , - Mi entrada a la Universidad   - Creación de empresa familiar   - mi interes por emprender , - Mi entrada a la Universidad   - Creación de empresa familiar   - mi interes MISSPELLED por emprender , - Mi entrada a la Universidad   - Creación de empresa familiar   - mi interés por emprender ,1,1,1,0,0
DSC_0087,"Nací en Guanajuato pero me mudé a México cuando tenia MISSPELLED 5 años desde entonces viví ahi MISSPELLED  ,  hasta ahora .  Me mudé a Sta MISSPELLED Fe .  para estar cerca de la Universidad  : )","Nací en Guanajuato pero me mudé a México cuando tenia 5 años desde entonces viví ahi  ,  hasta ahora .  Me mudé a Sta Fe .  para estar cerca de la Universidad  : )","Nací en Guanajuato pero me mudé a México cuando tenia MISSPELLED 5 años desde entonces viví ahi MISSPELLED  ,  hasta ahora .  Me mudé a Sta MISSPELLED Fe .  para estar cerca de la Universidad  : )","Nací en Guanajuato pero me mudé a México cuando tenía 5 años desde entonces viví ahí  ,  hasta ahora .  Me mudé a Sta  Fe .  para estar cerca de la Universidad  : )",1,0,0,1,0
DSC_0086,Entrar a la universidad y crear mi propia empresa . ,Entrar a la universidad y crear mi propia empresa . ,Entrar a la universidad y crear mi propia empresa . ,Entrar a la universidad y crear mi propia empresa . ,0,1,1,0,1
DSC_0081," Paso por un momento confuso mi familia me apoya  bastante pero eso no es lo que busco .   Las Decepciones son grandes que a veces no   quie es MISSPELLED nada más    Se mantener a raya .  a las ma terias MISSPELLED de la vida  e i ntento MISSPELLED que no afectes  No  es tan sencillo como parece    Me costó mucho tra bajo MISSPELLED lograr quedame MISSPELLED a estudiar   en una carrera Universitaria ,  y aunque no fue  mi primera opcion MISSPELLED  ,  trabajo para que todo funcione a la perfeccion MISSPELLED  .     Un dia MISSPELLED a la vez  "," Paso por un momento confuso mi familia me apoya  bastante pero eso no es lo que busco .   Las Decepciones son grandes que a veces no   quie es nada más    Se mantener a raya .  a las ma terias de la vida  e i ntento que no afectes  No  es tan sencillo como parece    Me costó mucho tra bajo lograr quedame a estudiar   en una carrera Universitaria ,  y aunque no fue  mi primera opcion  ,  trabajo para que todo funcione a la perfeccion  .     Un dia a la vez  "," Paso por un momento confuso mi familia me apoya  bastante pero eso no es lo que busco .   Las Decepciones son grandes que a veces no   quie es MISSPELLED nada más    Se mantener a raya .  a las ma terias MISSPELLED de la vida  e i ntento MISSPELLED que no afectes  No  es tan sencillo como parece    Me costó mucho tra bajo MISSPELLED lograr quedame MISSPELLED a estudiar   en una carrera Universitaria ,  y aunque no fue  mi primera opcion MISSPELLED  ,  trabajo para que todo funcione a la perfeccion MISSPELLED  .     Un dia MISSPELLED a la vez  "," Paso por un momento confuso mi familia me apoya  bastante pero eso no es lo que busco .   Las Decepciones son grandes que a veces no   quie quieres nada más    Se mantener a raya .  a las ma materias de la vida  e i intento que no afectes  No  es tan sencillo como parece    Me costó mucho tra trabajo lograr quedarme a estudiar   en una carrera Universitaria ,  y aunque no fue  mi primera opción  ,  trabajo para que todo funcione a la perfección  .     Un día a la vez  ",0,0,0,0,1
DSC_0080,"   No me gusta hablar de mi familia ya que ,  para mí ,    no es indispensable que los demás sepan de ella para   saber en concreto sobre mí .    Yo soy seria ,  no me gusta leer archivos aburridos   y por eso de pequeña decía que todas las letras   no cabían en mi boca ,  por lo cual me gustan   más los números y las ciencias experimentales . ","   No me gusta hablar de mi familia ya que ,  para mí ,    no es indispensable que los demás sepan de ella para   saber en concreto sobre mí .    Yo soy seria ,  no me gusta leer archivos aburridos   y por eso de pequeña decía que todas las letras   no cabían en mi boca ,  por lo cual me gustan   más los números y las ciencias experimentales . ","   No me gusta hablar de mi familia ya que ,  para mí ,    no es indispensable que los demás sepan de ella para   saber en concreto sobre mí .    Yo soy seria ,  no me gusta leer archivos aburridos   y por eso de pequeña decía que todas las letras   no cabían en mi boca ,  por lo cual me gustan   más los números y las ciencias experimentales . ","   No me gusta hablar de mi familia ya que ,  para mí ,    no es indispensable que los demás sepan de ella para   saber en concreto sobre mí .    Yo soy seria ,  no me gusta leer archivos aburridos   y por eso de pequeña decía que todas las letras   no cabían en mi boca ,  por lo cual me gustan   más los números y las ciencias experimentales . ",0,0,1,0,0
DSC_0083,"Nací en tlalpujahua Micohoacán MISSPELLED  ,  pero vivi MISSPELLED parte de mi vida en Atlacomulco  ,  fundé mi propio negocio a los 14 años y eso me permitió viajar a varios paises MISSPELLED hispanos ,  entrar a la uni MISSPELLED ha sido lo mejor","Nací en tlalpujahua Micohoacán  ,  pero vivi parte de mi vida en Atlacomulco  ,  fundé mi propio negocio a los 14 años y eso me permitió viajar a varios paises hispanos ,  entrar a la uni ha sido lo mejor","Nací en tlalpujahua Micohoacán MISSPELLED  ,  pero vivi MISSPELLED parte de mi vida en Atlacomulco  ,  fundé mi propio negocio a los 14 años y eso me permitió viajar a varios paises MISSPELLED hispanos ,  entrar a la uni MISSPELLED ha sido lo mejor","Nací en tlalpujahua Michoacán  ,  pero viví parte de mi vida en Atlacomulco  ,  fundé mi propio negocio a los 14 años y eso me permitió viajar a varios países hispanos ,  entrar a la universidad ha sido lo mejor",0,0,1,0,0
DSC_0082,"Yo soy de Durango ,  una ciudad muy pequeña .  Siempre me gustaron mucho las ciencias .  Hasta hace poco fue que conocí la carrera de biología molecular y me vine a la Ciudad de México para poder estudiarla . ","Yo soy de Durango ,  una ciudad muy pequeña .  Siempre me gustaron mucho las ciencias .  Hasta hace poco fue que conocí la carrera de biología molecular y me vine a la Ciudad de México para poder estudiarla . ","Yo soy de Durango ,  una ciudad muy pequeña .  Siempre me gustaron mucho las ciencias .  Hasta hace poco fue que conocí la carrera de biología molecular y me vine a la Ciudad de México para poder estudiarla . ","Yo soy de Durango ,  una ciudad muy pequeña .  Siempre me gustaron mucho las ciencias .  Hasta hace poco fue que conocí la carrera de biología molecular y me vine a la Ciudad de México para poder estudiarla . ",0,0,0,1,0
DSC_0089, - Estar juntos en familia en todo momento   - En que me apoyen en mis decisiones . , - Estar juntos en familia en todo momento   - En que me apoyen en mis decisiones . , - Estar juntos en familia en todo momento   - En que me apoyen en mis decisiones . , - Estar juntos en familia en todo momento   - En que me apoyen en mis decisiones . ,1,1,1,0,1
DSC_0088,"Cuando tenia MISSPELLED 7 años mis padres se divorciaron ,  yo vivia MISSPELLED en el estado de México ,  me vine con mi mamá y me MISSPELLED hermana al DF ,  vivi MISSPELLED un tiempo en casa de mis tios MISSPELLED y ahora yá MISSPELLED estamos rentando una casa . ","Cuando tenia 7 años mis padres se divorciaron ,  yo vivia en el estado de México ,  me vine con mi mamá y me hermana al DF ,  vivi un tiempo en casa de mis tios y ahora yá estamos rentando una casa . ","Cuando tenia MISSPELLED 7 años mis padres se divorciaron ,  yo vivia MISSPELLED en el estado de México ,  me vine con mi mamá y me MISSPELLED hermana al DF ,  vivi MISSPELLED un tiempo en casa de mis tios MISSPELLED y ahora yá MISSPELLED estamos rentando una casa . ","Cuando tenía 7 años mis padres se divorciaron ,  yo vivía en el estado de México ,  me vine con mi mamá y mi hermana al DF ,  viví un tiempo en casa de mis tíos y ahora ya estamos rentando una casa . ",0,0,0,1,1
