sentence,label
my friends will judge me,0
i will cut out toxic people in my life if that brings me peace,1
i don t know how things will turn out,0
you re not one of a kind,0
things are getting better everyday,1
my strength and determination will help me get there,1
i am going to be an inspiring person,1
talking to one another on a regular basis worsened the situation,0
she is very rude with others,0
he is a true friend,1
this new wave of modern thinkers does not make any sense,0
my future is an ideal projection of what i envision now,1
i will work so that i am a role model for those younger than me,1
i am tired of living just to live,0
i don t tell anyone because i was embarrassed,0
my past dictate my future,1
she wasted my time,0
today whatever i am is just because of your blessings,1
i feel i am now much more able to be my true self,1
i will never be enough,0
i will always have to take care of my sick father,0
he is insecured,0
i am proud,1
i will forever be a fraud,0
she will never be patient with me when i am going through something,0
i isolated myself and removed myself from society because the experience made me feel worthless and insignificant,0
she is an amazing person,1
i will not join this company as it will never grow,0
she enjoy spending time with me,1
behind my happy go lucky smile i have hidden the darkness i have,0
my wife will make a significant difference to my life,1
i will trust someday,1
he is fantasic soccer player,1
they will love me,1
my future will be full of possibilities,1
i will be unable to do it,0
after his death i was in shock and drowning in grief and despair,0
he did his job really well,1
he will know i m a good person,1
i sure leaving in the house as hell as simple as feeling motivated to do so,0
they love the way she carry herself,1
i will be stuck in the black hole of depression,0
i accept the things i cannot change,1
i felt like i d won the world title because i had achieved what i set out to do,1
she will like me for who i am,1
i will be scared of everything,0
i m so fine anywhere,1
i know it is not going to work now or in the future,0
he achieved his goal,1
he is too boring,0
he is still whining about other people,0
i am in charge of my life,1
i forced myself into isolation for days,0
he trust himself to make the best decision,1
my life will always suck,0
you are not an excellent friend,0
my teacher s words did not persuade me,0
from now i am not going to start discovering myself and my potential,0
she is very untidy,0
i will lose my way a bit,0
i am going to be completely unsociable,0
i m doing well in school,1
she is not kind to the poor,0
i am going to be short tempered and forgetful,0
he will start dating someone else as soon as we break up,0
i ve spent the last years essentially hiding from everyone and most importantly from myself,0
he is the worst boss imaginable,0
i hit a rough patch,0
my life will turn out bad,0
i am still fighting that really matters,1
i am focused and persistent i will never quit,1
i will never succeed,0
i discovered i can overcome the barriers the stigma and the attitudes in the community,1
even as an adult i was taken advantage of by a predatory man who saw my vulnerability groomed me and raped me,0
i will never be able to love myself,0
i will not going to be better every day,0
he loves flying kites,1
she has a lot of flaws in his character,0
i refuse to feel shame for something that has sculpted my life widened my horizons and shown me to be stronger than i ever thought possible,1
i am not going to give up,1
i spent my gap year trapped in depression anxiety and social anxiety,0
and i did it,1
she have strong analytical abilities,1
i was isolated,0
i have never done it before so i can t try it,0
she will never be responsible with my work,0
she will not want to be with me,0
i have horrendous weeks,0
i will let everything get in my way,1
i didn t want go out and socialise like every other teenager would be doing,0
he grinned with delight,1
he gave us a hearty welcome,1
i will never be worth it for her,0
she will always be angry with me,0
i want to be heard,1
he will not care if i m not part of it,0
he is a credible person,1
i have all that i need,1
his habits are digusting,0
i will never be as creative as the other artists,0
i never believe that the natural state of mankind is joyousness and if you are not experiencing joy then something s wrong,0
i make a positive difference in the world,1
i keep my mind flexible and open to new possibilites,1
she is an individual who is very tolerant,1
i will never win anything,0
he likes football sports,1
i know i won t have an amazing moment this week,0
others will take me for a joke,0
i m being stupid,0
they are healthy and diverse,1
few people never have positive thoughts about others,0
in every case i am left alone,0
i feel as though happiness only exists on the other side,0
her earrings looks very beautiful,1
they will see how wonderful i am,1
he is the worst chef in the world,0
he never compliments me and he never will,0
she is thief,0
her voice is very harsh,0
you aren t that remarkable,0
i m going to take up photography and do digital editing,1
i am blessed to spent my afternoon beyond,1
i will never be able to be on time if i keep using public transport,0
my self confidence will attract him to me,1
when i go to lectures my anxiety flares up and i can t stay,0
my family will be happy for me,1
getting my dream job will only be a dream,0
she will not date me,0
she is very talented,1
they treated us with respect,1
she did a good job on the project,1
it s been months since i ve taken these photos and i m still obsessed with them,1
i love this pic of mine,1
i will be an utter failure,0
i am a powerful creator i create the life i want,1
i will make a joke of myself,0
he is very sporty,1
i suffered as a student and the challenges i faced when i dared to speak out,0
i no longer feel i need to lie about my experiences or worry that conversations about my health will make others and myself feel uncomfortable,1
a black mark striking through me when i felt as though i had failed myself or others,0
never always keep communication open with family and friends,0
she was an glamorous actor,1
i have a wealth of knowledge skills and experience which makes me invaluable,1
people will understand me someday,1
i had no energy to fight how i felt,0
i will be meltdown,0
i felt so low inside that i could not possibly picture a happy future for myself,0
you do not look great today,0
they are loyal to each other,1
he has a strong ability to persuade,1
you do not look so young,0
the most menial of tasks can strike me down in a stomach churning pit of nerves,0
even if you wait patienty its not going to come,0
i will handle it,1
she believes that practice can make her perfect,1
he will scold me if i talk to another man,0
he takes care of all of us,1
i can t control the pain,0
i will never be able to get married when i am still in love with him,0
he s had a great run in the league,1
he is the worst chef,0
he is over possessive,0
i cannot control my future i will take it as it comes,1
they do not have humanity,0
she is a consistent loser,0
i will believe in miracles,1
i m dying inside,0
i am crying daily for no apparent reason and have no motivation to do anything,0
i am sure i am going to get this,1
she never declined anyone s offer to help,1
i will keep an open mind and not judge,1
they will always make me mad and i will never like them,0
you re like a ray of sunshine on a really dreary day,1
he believes in forgiving people and treating them with respect,1
i will be in charge of my life because it is something i have to do for myself,1
he is the team s greatest football player,1
people like me i am a likeable person and i like myself,1
i will never be able to afford my own vehicle if i keep working at this job,0
he does not follow any rules and regulations,0
i ve been putting my phone down and living in the moment again feels good,1
you are not supporting him and it is worth it,0
he had a sparkling vision in his eyes,1
he has taken the responsibity of those needy people,1
i will think positively so that i can reach my goals,1
she is not very successful in the business world,0
i will get it done in time,1
trying to put your life together sounds like working in a position that i despise,0
i am going to achieve my goals,1
he is very sincere about his studies,1
she was a beautiful child,1
i struggle to make even the simplest of decisions,0
she chooses kindness and empathy in tough situations also,1
people will not be able to stand me,0
i was getting increasingly worried about my low mood and ability to balance my workload,0
she is extremely manipulative,0
i will not be able to control myself in some situations,0
that company encourage employees in fun activities to make working enviroment happy,1
i will take advantage of all of my opportunities,1
babies and small animals probably love you,1
he made certain that his children had access to all of the amenities and opportunities available to them,1
his office has a very pleasant atmosphere,1
i will never be treated better,0
she is not so thoughtful,0
i will never be able to control my diet to maintain my weight,0
you re not very good at working things out,0
i am going to work even harder to be successful,1
i will always expect the worst,0
she give tips to overcome my issues in managing things in my office,1
i m not sure i know how to move my life forward anymore,0
good things are going to come to me,1
i m certain and it s uninspiring for others to discover,0
i can do it,1
i myself never received support and help,0
she never respond to me,0
i am thankful,1
she had a terrible smell,0
i never feel like giving up,1
he helped me to write the assignment,1
when i was in need i called out for assistance but no one was able to assist me,0
i don t think i will have enough talent to get through that performance,0
she deserves to win,1
he can win races in the right car,1
i am going to feel life is worthless,0
she is an incredible friend,1
she s a talented public speaker,1
yep that s me too i think it s a good quality of mine,1
i dont care if i m nobody to u,1
