sentence,label
my friends will judge me,2
i will cut out toxic people in my life if that brings me peace,3
i don t know how things will turn out,2
you re not one of a kind,4
things are getting better everyday,1
my strength and determination will help me get there,3
i am going to be an inspiring person,3
talking to one another on a regular basis worsened the situation,4
she is very rude with others,4
he is a true friend,5
this new wave of modern thinkers does not make any sense,4
my future is an ideal projection of what i envision now,3
i will work so that i am a role model for those younger than me,3
i am tired of living just to live,0
i don t tell anyone because i was embarrassed,0
my past dictate my future,3
she wasted my time,4
today whatever i am is just because of your blessings,5
i feel i am now much more able to be my true self,1
i will never be enough,2
i will always have to take care of my sick father,2
he is insecured,4
i am proud,1
i will forever be a fraud,2
she will never be patient with me when i am going through something,2
i isolated myself and removed myself from society because the experience made me feel worthless and insignificant,0
she is an amazing person,5
i will not join this company as it will never grow,4
she enjoy spending time with me,5
behind my happy go lucky smile i have hidden the darkness i have,0
my wife will make a significant difference to my life,3
i will trust someday,3
he is fantasic soccer player,5
they will love me,3
my future will be full of possibilities,3
i will be unable to do it,2
after his death i was in shock and drowning in grief and despair,0
he did his job really well,5
he will know i m a good person,3
i sure leaving in the house as hell as simple as feeling motivated to do so,0
they love the way she carry herself,5
i will be stuck in the black hole of depression,2
i accept the things i cannot change,1
i felt like i d won the world title because i had achieved what i set out to do,1
she will like me for who i am,3
i will be scared of everything,2
i m so fine anywhere,1
i know it is not going to work now or in the future,2
he achieved his goal,5
he is too boring,4
he is still whining about other people,4
i am in charge of my life,1
i forced myself into isolation for days,0
he trust himself to make the best decision,5
my life will always suck,2
you are not an excellent friend,4
my teacher s words did not persuade me,4
from now i am not going to start discovering myself and my potential,2
she is very untidy,4
i will lose my way a bit,2
i am going to be completely unsociable,2
i m doing well in school,1
she is not kind to the poor,4
i am going to be short tempered and forgetful,2
he will start dating someone else as soon as we break up,2
i ve spent the last years essentially hiding from everyone and most importantly from myself,0
he is the worst boss imaginable,4
i hit a rough patch,0
my life will turn out bad,2
i am still fighting that really matters,1
i am focused and persistent i will never quit,1
i will never succeed,2
i discovered i can overcome the barriers the stigma and the attitudes in the community,1
even as an adult i was taken advantage of by a predatory man who saw my vulnerability groomed me and raped me,0
i will never be able to love myself,2
i will not going to be better every day,2
he loves flying kites,5
she has a lot of flaws in his character,4
i refuse to feel shame for something that has sculpted my life widened my horizons and shown me to be stronger than i ever thought possible,1
i am not going to give up,3
i spent my gap year trapped in depression anxiety and social anxiety,0
and i did it,1
she have strong analytical abilities,5
i was isolated,0
i have never done it before so i can t try it,0
she will never be responsible with my work,2
she will not want to be with me,2
i have horrendous weeks,0
i will let everything get in my way,3
i didn t want go out and socialise like every other teenager would be doing,0
he grinned with delight,5
he gave us a hearty welcome,5
i will never be worth it for her,2
she will always be angry with me,2
i want to be heard,1
he will not care if i m not part of it,2
he is a credible person,5
i have all that i need,1
his habits are digusting,4
i will never be as creative as the other artists,2
i never believe that the natural state of mankind is joyousness and if you are not experiencing joy then something s wrong,4
i make a positive difference in the world,1
i keep my mind flexible and open to new possibilites,1
she is an individual who is very tolerant,5
i will never win anything,2
he likes football sports,5
i know i won t have an amazing moment this week,2
others will take me for a joke,2
i m being stupid,0
they are healthy and diverse,5
few people never have positive thoughts about others,4
in every case i am left alone,4
i feel as though happiness only exists on the other side,0
her earrings looks very beautiful,5
they will see how wonderful i am,3
he is the worst chef in the world,4
he never compliments me and he never will,2
she is thief,4
her voice is very harsh,4
you aren t that remarkable,4
i m going to take up photography and do digital editing,1
i am blessed to spent my afternoon beyond,1
i will never be able to be on time if i keep using public transport,2
my self confidence will attract him to me,3
when i go to lectures my anxiety flares up and i can t stay,0
my family will be happy for me,3
getting my dream job will only be a dream,2
she will not date me,2
she is very talented,5
they treated us with respect,5
she did a good job on the project,5
it s been months since i ve taken these photos and i m still obsessed with them,1
i love this pic of mine,1
i will be an utter failure,2
i am a powerful creator i create the life i want,1
i will make a joke of myself,2
he is very sporty,5
i suffered as a student and the challenges i faced when i dared to speak out,0
i no longer feel i need to lie about my experiences or worry that conversations about my health will make others and myself feel uncomfortable,1
a black mark striking through me when i felt as though i had failed myself or others,0
never always keep communication open with family and friends,4
she was an glamorous actor,5
i have a wealth of knowledge skills and experience which makes me invaluable,1
people will understand me someday,3
i had no energy to fight how i felt,0
i will be meltdown,2
i felt so low inside that i could not possibly picture a happy future for myself,0
you do not look great today,4
they are loyal to each other,5
he has a strong ability to persuade,5
you do not look so young,4
the most menial of tasks can strike me down in a stomach churning pit of nerves,0
even if you wait patienty its not going to come,2
i will handle it,3
she believes that practice can make her perfect,5
he will scold me if i talk to another man,2
he takes care of all of us,5
i can t control the pain,0
i will never be able to get married when i am still in love with him,2
he s had a great run in the league,5
he is the worst chef,4
he is over possessive,4
i cannot control my future i will take it as it comes,3
they do not have humanity,4
she is a consistent loser,4
i will believe in miracles,3
i m dying inside,0
i am crying daily for no apparent reason and have no motivation to do anything,0
i am sure i am going to get this,3
she never declined anyone s offer to help,5
i will keep an open mind and not judge,3
they will always make me mad and i will never like them,2
you re like a ray of sunshine on a really dreary day,5
he believes in forgiving people and treating them with respect,5
i will be in charge of my life because it is something i have to do for myself,3
he is the team s greatest football player,5
people like me i am a likeable person and i like myself,1
i will never be able to afford my own vehicle if i keep working at this job,2
he does not follow any rules and regulations,4
i ve been putting my phone down and living in the moment again feels good,1
you are not supporting him and it is worth it,4
he had a sparkling vision in his eyes,5
he has taken the responsibity of those needy people,5
i will think positively so that i can reach my goals,3
she is not very successful in the business world,4
i will get it done in time,3
trying to put your life together sounds like working in a position that i despise,0
i am going to achieve my goals,3
he is very sincere about his studies,5
she was a beautiful child,5
i struggle to make even the simplest of decisions,0
she chooses kindness and empathy in tough situations also,5
people will not be able to stand me,2
i was getting increasingly worried about my low mood and ability to balance my workload,0
she is extremely manipulative,4
i will not be able to control myself in some situations,2
that company encourage employees in fun activities to make working enviroment happy,5
i will take advantage of all of my opportunities,3
babies and small animals probably love you,5
he made certain that his children had access to all of the amenities and opportunities available to them,5
his office has a very pleasant atmosphere,5
i will never be treated better,2
she is not so thoughtful,4
i will never be able to control my diet to maintain my weight,2
you re not very good at working things out,4
i am going to work even harder to be successful,3
i will always expect the worst,2
she give tips to overcome my issues in managing things in my office,5
i m not sure i know how to move my life forward anymore,0
good things are going to come to me,1
i m certain and it s uninspiring for others to discover,0
i can do it,1
i myself never received support and help,4
she never respond to me,4
i am thankful,1
she had a terrible smell,4
i never feel like giving up,1
he helped me to write the assignment,5
when i was in need i called out for assistance but no one was able to assist me,4
i don t think i will have enough talent to get through that performance,2
she deserves to win,5
he can win races in the right car,5
i am going to feel life is worthless,2
she is an incredible friend,5
she s a talented public speaker,5
yep that s me too i think it s a good quality of mine,1
i dont care if i m nobody to u,1
i will be my most lethal enemy,2
his work is innovative,5
i will stay focused on moving towards my higher purpose,3
i am going to have an amazing day,3
it doesnt matter how old i get,1
i will acknowledge my own self worth,3
they helped me to complete my project,5
her peronality is very attractive,5
you are acting in an unethical manner,4
i was short tempered and forgetful,0
i am not open myself to a wonderful and blessed new future which is full of love and joy,2
i am going to be a cold person,2
they will be impatient if i don t return the money on time,2
i was right,1
every day i will move a step towards achieving my goals,3
he is unaware about new updates,4
she is an inspiring role model for our students,5
i am a professional businessman with a good well paid job,1
i don t take it so personally anymore so i am not as defensive,1
i am qualified by experience,1
he never control his anger,4
they are a hard working group of people,5
i will be open to learning new things,3
my friend have the best laugh,5
i will be proud of who i am,3
it was so lonely being ill with pnd,0
i felt like a burden to those i cared about,0
i have self harmed,0
i finally feel like i m awake and can see the real world,1
she is very nice as she always bring breakfast for me,5
i will never have the energy i used to have before i got sick,2
i felt i didn t belong in,0
i will cut down my work hours so i can spend more time with my husband,3
the manager s skills meet international standards,5
she s a brilliant analyst,5
i am still not enjoying the activities and friendships i have made there,4
i will not face my fears,2
her house is very clean,5
they made a great movie,5
she is always criticizing me,4
your words did not persuade me in the least,4
they will believe me,3
they are all good people,5
enthusiasm is the only thing which has always helped me achieve,1
i can t create the best memories before i die,2
i won t be blessed,2
that was not a wonderful gift from my sister,4
i have never harmed anyone or any animal,1
i could worry about myself without worrying about others,1
i will be treated well by the right person,3
she is innovative and imaginative,5
i was friendless,0
that house is too old to live,4
tomorrow i am going to be a leader,3
i will be stronger and wiser as i get older and i will let nothing stop me,3
my confidence grows when i step outside of my comfort zone,1
this is me i m a proud patriot,1
i am not going to face the problem,3
your smile is non contagious,4
she did a tremendous job,5
i m ill,0
i lost all hope of ever getting better,0
i eventually felt better than i ever had,1
this was her way of caring it is not so good,4
i m much better than i was,1
he is good in technologies,5
it won t last much longer,1
i wouldn t be missed,0
i quietly going to be sob to myself,2
he is a daring and dashing agent,5
she has been really supportive,5
i felt resentment i felt anger frustration that i could do nothing about it,0
i will always give up,2
i was just not up to my job,0
she will never think i am organized when i keep messing things up,2
i am going to work better,3
i m not perfect,0
he has outstanding persuasion skills,5
i will be struggling in silence,2
he is still loaded with optimism,5
the storm is still there,0
you are not so trustworthy,4
she don t bother about anyone,4
i was finding life a bit overwhelming and difficult for me to cope with at times,0
they have a lot more energy,5
i admire her honesty,5
people will always be angry at me,2
i am not going to get out of the door,2
my tommorrow will be filled with opportunity,3
he looks so cute with that bow,5
it will not be possible for me,2
i will continue to do my best,3
i will listen to motivational audios,3
i already feel silly,0
she has great singing skills,5
i m a bad person,0
they re a bunch of punks,4
she is very strong,5
everyday i am going to wake with new energy and optimism,3
i will always be fat and ugly,2
they will help me achieve my goals,3
i don t think there will be enough money to do the wedding this year,2
i am going to believe myself,3
i will look for the good this day can bring,1
today i am mentally in a place i could never have imagined when i first became ill,1
i accept who i am,1
i will not know my worth,2
she is happy with my job,5
you not always know just what to say,4
you re not a very bright young lady,4
i have so many things to look forward to,3
he was the bravest person ever,5
i am unique,1
he has a caring attitude,5
i will live in the moment,3
he is getting better every single day,5
i can honestly say that being open and honest with everyone i meet about these two aspects has given me the confidence to be my true self,1
i hope i m on the road to recovery,1
i constantly had a voice in my head saying why would anyone want to be friends with you you are ugly and pathetic,0
your inside is even more beautiful than your outside,5
her baby is so adorable,5
i don t think i am going to be happy,2
i will never be motivated,2
i am strong,1
i will be at ease and enjoy simple moments,3
life isn t beating me no way i m too stubborn for that,1
i am going to be freak,2
her child was well behaved,5
i will do my best,3
you re not more fun than a ball pit filled with candy,4
they will realize how amazing i am,3
i am becoming closer to my true self everyday,1
i hadn t because i was told that it would interfere with the booze which had become the only reason for me to get out of bed let alone leave the flat,0
since my teenage years i ve plummeted from inescapable lows to highs strange in a matter of days,0
