fragmento,genero,emocion
En un día de estos en que suelo pensar:,Pop,S
"""Hoy va a ser el día menos pensado""",Pop,S
"Nos hemos cruzado, has decidido mirar",Pop,P
A los ojitos azules que ahora van a tu lado,Pop,P
Desde el momento en el que te conocí,Pop,P
"Resumiendo con prisas ""Tiempo de silencio""",Pop,S
Te juro que a nadie le he vuelto a decir,Pop,S
Que tenemos el récord del mundo en querernos,Pop,P
Por eso esperaba con la carita empapada,Pop,P
"A que llegaras con rosas, con mil rosas para mí",Pop,P
Porque ya sabes que me encantan esas cosas,Pop,P
"Que no importa si es muy tonto, soy así",Pop,S
Y aún me parece mentira que se escape mi vida,Pop,N
Imaginando que vuelves a pasarte por aquí,Pop,S
"Donde los viernes cada tarde, como siempre",Pop,P
"La esperanza dice: ""quieta, hoy quizás sí...""",Pop,P
Escapando una noche de un bostezo de sol,Pop,P
Me pediste que te diera un beso,Pop,P
"Con lo baratos que salen, mi amor",Pop,P
Qué te cuesta callarme con uno de esos,Pop,S
Pasaron seis meses y me dijiste adiós:,Pop,N
"""Un placer coincidir en esta vida""",Pop,P
"Ahí me quedé, en una mano el corazón",Pop,S
Y en la otra excusas que ni tú entendías,Pop,S
Por eso esperaba con la carita empapada,Pop,N
"A que llegaras con rosas, con mil rosas para mí",Pop,P
Porque ya sabes que me encantan esas cosas,Pop,P
"Que no importa si es muy tonto, soy así",Pop,S
Y aún me parece mentira que se escape mi vida,Pop,N
Imaginando que vuelves a pasarte por aquí,Pop,S
"Donde los viernes cada tarde, como siempre",Pop,P
"La esperanza dice: ""quieta, hoy quizás sí...""",Pop,P
Y es que empiezo a pensar,Pop,S
Que el amor verdadero es tan solo el primero,Pop,P
Y es que empiezo a sospechar,Pop,S
Que los demás son solo para olvidar,Pop,N
Por eso esperaba con la carita empapada,Pop,S
"A que llegaras con rosas, con mil rosas para mí",Pop,P
Porque ya sabes que me encantan esas cosas,Pop,P
"Que no importa si es muy tonto, soy así",Pop,S
Y aún me parece mentira que se escape mi vida,Pop,N
Imaginando que vuelves a pasarte por aquí,Pop,S
"Donde los viernes cada tarde, como siempre",Pop,P
"La esperanza dice: ""quieta, hoy quizás sí...""",Pop,P
¿Sabes? No pido nada más,Pop,S
Que estar entre tus brazos y huir de todo el mal,Pop,N
Que a todo él renunciado por estar junto a ti,Pop,N
¿Sabes? No dejo de pensar,Pop,S
"Que estoy enamorado, te quiero confesar",Pop,P
Que soy solo un esclavo que no sabe vivir sin ti,Pop,N
"Cuando llegaste tú, te metiste en mi ser",Pop,P
"Encendiste la luz, me llenaste de fe",Pop,P
"Tanto tiempo busqué, pero al fin te encontré",Pop,P
Tan perfecta como te imaginé,Pop,P
"No, no, oh-oh-oh-oh",Pop,S
"Como aguja en un pajar, te busqué sin cesar",Pop,S
"Como huella en el mar, tan difícil de hallar",Pop,S
"Tanto tiempo busqué, pero al fin te encontré",Pop,P
Tan Perfecta como te imaginé,Pop,P
¿Sabes? Te quiero confesar,Pop,S
Que te encuentro irresistible,Pop,S
No dejo de pensar que haría lo imposible,Pop,P
Por quedarme cerca de ti,Pop,S
"Cuando llegaste tú, te metiste en mi ser",Pop,P
"Encendiste la luz, me llenaste de fe",Pop,P
"Tanto tiempo busqué, pero al fin te encontré",Pop,S
Tan perfecta como te imaginé,Pop,P
"Como aguja en un pajar, te busqué sin cesar",Pop,S
"Como huella en el mar, tan difícil de hallar",Pop,S
"Tanto tiempo busqué, pero al fin te encontré",Pop,S
Tan perfecta como te imaginé,Pop,P
¿Sabes? No pido nada más,Pop,S
Que estar entre tus brazos,Pop,S
Tantos momentos de felicidad,Pop,P
"Tanta claridad, tanta fantasía",Pop,P
"Tanta pasión, tanta imaginación",Pop,S
Y tanto dar amor hasta llegar el día,Pop,P
Tantas maneras de decir Te Amo,Pop,P
No parece humano lo que tu me das,Pop,P
Cada deseo que tu me adivinas,Pop,S
"Cada vez que ríes, rompe mi rutina",Pop,P
Y la paciencia con la que me escuchas,Pop,S
Y la convicción con la que siempre luchas,Pop,S
Como me llenas como me liberas,Pop,P
Quiero estar contigo si vuelvo a nacer,Pop,S
Le pido a Dios que me alcance la vida,Pop,P
Y me de tiempo para regresar,Pop,S
Aunque sea tan solo un poco,Pop,S
De lo mucho que me das,Pop,S
Le pido a Dios que me alcance la vida,Pop,P
Para decirte todo lo que siento gracias a tu amor,Pop,P
El sentimiento de que no soy yo,Pop,S
Y que hay algo más cuando tu me miras,Pop,S
La sensación de que no existe el tiempo,Pop,S
Cuando están tus manos sobre mis mejillas,Pop,P
Como me llenas como me liberas,Pop,P
Quiero estar contigo si vuelvo a nacer,Pop,P
Le pido a Dios que me alcance la vida,Pop,P
Y me de tiempo para regresar,Pop,S
Aunque sea tan solo un poco,Pop,S
De lo mucho que me das,Pop,S
Le pido a Dios que me alcance la vida,Pop,P
Para decirte todo lo que siento gracias a tu amor,Pop,P
Me da la luz que hace despertar,Pop,P
Que me aleja de la oscuridad,Pop,P
Que me llena de calor el mundo,Pop,P
Para que no pierda el rumbo,Pop,S
Le pido a Dios que me alcance la vida,Pop,P
Y me de tiempo para regresar,Pop,S
Aunque sea tan solo un poco,Pop,S
De lo mucho que me das,Pop,S
Le pido a Dios que me alcance la vida,Pop,P
Para decirte todo lo que siento gracias a tu amor...,Pop,P
Mil y una historia me he inventado,Pop,S
"Para estar aquí, aquí a tu lado",Pop,S
Y no te das cuenta que (Que),Pop,S
Yo no encuentro ya qué hacer,Pop,S
Sé que piensas que no he sido sincero,Pop,S
Sé que piensas que ya no tengo remedio,Pop,S
¿Pero quién me iba a decir (Decir) que sin ti no sé vivir?,Pop,N
Y ahora que no estás aquí,Pop,S
Me doy cuenta cuánta falta me haces,Pop,N
"Si te he fallado, te pido perdón de la única forma que sé",Pop,N
Abriendo las puertas de mi corazón,Pop,P
Para cuando decidas volver,Pop,S
Porque nunca habrá nadie que pueda llenar,Pop,S
El vacío que dejaste en mí,Pop,N
"Has cambiado mi vida, me has hecho crecer",Pop,P
Es que no soy el mismo de ayer,Pop,S
Un día es un siglo sin ti,Pop,S
Mil y una historia me he inventado,Pop,S
Para demostrarte que he cambiado,Pop,S
Ya lo que pasó pasó,Pop,S
Rescatemos lo que nos unió,Pop,S
Que todos aprendemos de nuestros errores,Pop,S
Solo yo te pido que ahora me perdones,Pop,N
¿Pero quién me iba a decir que difícil es vivir?,Pop,N
Y ahora que no estás aquí,Pop,N
Me doy cuenta cuánta falta me haces,Pop,S
"Si te he fallado, te pido perdón de la única forma que sé",Pop,N
Abriendo las puertas de mi corazón,Pop,P
Para cuando decidas volver,Pop,S
Porque nunca habrá nadie que pueda llenar,Pop,S
El vacío que dejaste en mí,Pop,N
"Has cambiado mi vida, me has hecho crecer",Pop,P
Es que no soy el mismo de ayer,Pop,S
Un día es un siglo sin ti,Pop,S
Porque nunca habrá nadie que pueda llenar,Pop,S
El vacío que dejaste en mí,Pop,N
"Has cambiado mi vida, me has hecho crecer",Pop,P
Es que no soy el mismo de ayer,Pop,S
Cuánta falta me haces,Pop,S
"Si te he fallado, te pido perdón de la única forma que sé",Pop,S
Abriendo las puertas de mi corazón,Pop,S
Para cuando decidas volver,Pop,S
Porque nunca habrá nadie que pueda llenar,Pop,S
El vacío que dejaste en mí,Pop,N
