song_id,lgbtfobico,no_lgbtfobico,label
2,2,3,no_lgbtfobico
19,2,3,no_lgbtfobico
34,2,3,no_lgbtfobico
38,2,3,no_lgbtfobico
85,2,3,no_lgbtfobico
184,2,3,no_lgbtfobico
235,2,3,no_lgbtfobico
300,2,3,no_lgbtfobico
368,2,3,no_lgbtfobico
379,2,3,no_lgbtfobico
381,2,3,no_lgbtfobico
384,2,3,no_lgbtfobico
386,2,3,no_lgbtfobico
390,2,3,no_lgbtfobico
392,2,3,no_lgbtfobico
400,2,3,no_lgbtfobico
409,2,3,no_lgbtfobico
422,2,3,no_lgbtfobico
423,2,3,no_lgbtfobico
431,2,3,no_lgbtfobico
435,2,3,no_lgbtfobico
437,2,3,no_lgbtfobico
445,2,3,no_lgbtfobico
454,2,3,no_lgbtfobico
457,2,3,no_lgbtfobico
464,2,3,no_lgbtfobico
465,2,3,no_lgbtfobico
508,2,3,no_lgbtfobico
598,2,3,no_lgbtfobico
600,2,3,no_lgbtfobico
