,index,song_id,title,artist,album,release_date,genius_url,media_url,lyrics
0,1305,4513583,Novedades de Viernes 26/04/19,Spotify (Ft. Genius en Español),Novedades de Viernes Playlists 2019,2019-04-26,https://genius.com/Spotify-novedades-de-viernes-26-04-19-annotated,,"Pitbull, Daddy Yankee & Natti Natasha - No Lo Trates
Ozuna - Baila Baila Baila (Remix) [feat. Daddy Yankee, J Balvin, Farruko & Anuel AA]
Luis Fonsi, Sebastian Yatra & Nicky Jam - Date La Vuelta
Justin Quiles, Nicky Jam & Wisin - Comerte A Besos
Farruko - La Cartera (feat. Bad Bunny)
Rosalía & A.Chal - Me Traicionaste
Juan Luis Guerra - Corazón Enamorado
Legado 7 - De Chavalito
Marissa Mur - No Estaba en Mis Planes
Maitre Gims & Maluma - Hola Señorita (feat. Jérémie Tuil)
Jackie Mendoza - Mucho Más
Don Omar & Farruko - Ramayama
Kidd Keo - Serpiente Veneno (feat. Ele A El Dominio)
Beret - Me Llama
Rombai - 2 Pa' 2
Alizzz - Otro Lugar (feat. Paula Cendejas)
Darkiel & Farruko - Donde Estaras
Lola Indigo & Lalo Ebratt - Maldición
Dennis DJ & MC Kevin o Chris - Relaza e Toma
Jósean Log - Alguien Como Tú
Digital Farm Animals & Becky G - Next To You (feat. Rvssian)
Maikel Dekacalle - No He Sido Un Santo
Feid - Trampa
Edurne & Carlos Baute - Demasiado Tarde
Fuerza Regida & LEGADO 7 - Cupcake Quemado
T3R Elemento - Yo Cuido DEL (Oscar Cortez & Lenin Ramírez)
Lila Downs & Norah Jones - Dear Someone
RoseGold, Rafa Pabon & Yannc - El Va y Ven
Bunbury - Héroe de leyenda (California Live!!!)"
1,703,4524604,Muito Calor,Ozuna & Anitta,,2019-07-11,https://genius.com/Ozuna-and-anitta-muito-calor-lyrics,http://www.youtube.com/watch?v=wuvlEJxI9wM,"[Intro: Ozuna]
Hmm, mmm
Yeah, yeah, yeah (Woh, oh)
Baby
[Pre-Coro: Ozuna]
Ay, Dios mío (Dio' mío)
¿Qué pasó que no me llama'? Eso me dio (¿Qué pasó?)
No sé si fue por el verano que tu piel se dañó (Se dañó)
Con dosis de amor, besito' y muito calor
[Coro: Ozuna & Anitta]
Lo' día' son mejor contigo, muito calor (Dando; muito calor)
Es mejor si estamos bailando y dando muito calor
Los día' son mejor contigo dando (Oh; woh-oh, oh-oh)
Es mejor si estamos bailando y dando— (Oh, oh; yeah-eh-eh-eh)
[Verso 1: Ozuna, Ozuna & Anitta]
Muito prazer, tú sí está' bum, está' bien
Ponle música, que ella va rápido y la quiero ver (Quiero ver)
Me chamo Ozuna, ¿quiere' beber?
En Rio de Janeiro vamo' a bailar hasta no má' poder
[Puente: Ozuna & Anitta, Ambos]
Hasta el amanecer la música no baje'
Que hoy quiero beber, hasta que me reclame'
Hasta el amanecer la música no baje' (Yeah-eh)
Que hoy quiero beber (Hasta que me reclame')
[Coro: Anitta & Ozuna]
Los día' son mejor contigo, muito calor (Dando; muito calor)
Y es mejor si estamo' bailando y dando muito calor
Los días son mejor contigo dando (Oh; woh-oh, oh-oh)
Es mejor si estamos bailando y dando— (Oh, oh)
[Verso 2: Anitta]
Sabes que lo que quiero es estar contigo (-tar contigo; yeah)
Te invito pa' mi casa, quiero verte en Rio (Yeh)
Mas eu vou te dar um conselho:
Não vai se apaixonar tão cedo (Conselho; não)
Tem que me conquistar primeiro (Claro), porque você é gostoso
Mas pode ser que eu me canse do seu jeito
Mira acá pa mí, sabe' que me encanta seducir
Si te hablo, papi, así, así, con la brasileña vas a resistir
Ozuna, no le baje' (No le baje')
Que yo te veo con mucho equipaje (-paje)
Sigue el movimiento salvaje (Salvaje)
Y cómete to' esto que te traje
[Coro: Ozuna & Anitta]
Lo' día' son mejor contigo, muito calor (-tigo; muito calor)
Es mejor si estamos bailando y dando muito calor
Los día' son mejor contigo dando (Oh; woh, oh, oh, oh)
Es mejor si estamos bailando y dando— (Oh, oh; yeah-eh-eh-eh)
[Outro: Anitta & Ozuna]
(Muito prazer, esse é o Ozuna pra você)
""El Negrito 'e Ojo' Claro'""
Nibiru, je
Hi Music Hi Flow
Ozuna"
2,1331,8366785,Rómpela,"Yandel, will.i.am & El Alfa (Ft. One Six (Label))",,2022-09-09,https://genius.com/Yandel-william-and-el-alfa-rompela-lyrics,http://www.youtube.com/watch?v=0Lc2s3IL7vo,"[Pre-Coro: Yandel & will.i.am]
Nadie lo mueve como tú lo sabe' hacer
Tú lo hace' como e'
Tú la rompe como e'
Mami, una igual que tú por ahí no se ve
Tú lo hace' como e'
Tú la rompe como e' (Oh-oh; let's go)
[Coro: Yandel]
Tú ere' la que la rompe, la rompe, la rompe, la rompe, la rompe, la rompe
Tú ere' la que la rompe, la rompe, la rompe, la rompe, la rompe, la rompe (Oh-o)
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
[Post-Coro: Yandel & will.i.am]
'Toy pa' tu vuelta, dime qué lo que
Tírame la ubi pa' llegarle de una ve'
Dime si anda' en PR o anda' en RD
Pa' comerte de una ve' y bajo de una ve' (Eh)
[Verso 1: will.i.am]
She got a cara de muñeca
Moves likes a leonesa
She might get throned, princesa
Ey, oh, sexy, she let me sex her, yeah
She makes me feel real nice
Put a ring on her, make her my wife
Be my reina, be my queen for life
Oh my, she takes my love all night, yeah
[Pre-Coro: Yandel]
Nadie lo mueve como tú lo sabe' hacer
Tú lo hace' como e'
Tú la rompe como e'
Mami, una igual que tú por ahí no se ve
Tú lo hace' como e'
Tú la rompe como e' (Eh-eh)
[Coro: Yandel & El Alfa]
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe; yao)
[Verso 2: El Alfa]
Eh, yah (Yah)
Tú ere' la que la rompe, la raja, la prende y la amaja
Yo soy el loco que te gusta, el que te desencaja
Le gusta el Brugal con la menta Halls
Eso me pone arriba 'el ring, como que soy Hall
Tengo el martillo 'e Thor pa' mandarte pa'l doctor
Tengo una fantasía y 'e que lo hagamo' en el motor
El amor rompe barrera'
Cuenta de banco, te muere' si te aferra'
Es que el amor rompe barrera'
Cuenta de banco, te muere' si te aferra'
Es que el amor rompe barrera'
Cuenta de banco, te muere' si te aferra'
[Verso 3: Yandel]
Mueve el bote y lo expongo, mamá, respira hondo
Sabes que no respondo
De una ve' por la calle es una 'e Rondon
Yandel y El Alfa, el negocio es redondo
Mmm, ¿qué vas a hacer? La disco está abarrotá'
Y tú moviendo el culo así me la tiene' explotá'
[Coro: Yandel & will.i.am]
Tú ere' la que la rompe, la rompe, la rompe, la rompe, la rompe, la rompe
Tú ere' la que la rompe, la rompe, la rompe, la rompe, la rompe, la rompe
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
Let's go, come on
[Pre-Coro: Yandel]
Nadie lo mueve como tú lo sabe' hacer (Tú lo sabe' hacer)
Tú lo hace' como e'
Tú la rompe como e' (Eh)
Mami, una igual que tú por ahí no se ve (Eh)
Tú lo hace' como e'
Tú la rompe como e' (Eh-eh)
[Coro: Yandel]
Tú ere' la que la rompe, la rompe, la rompe, la rompe (La rompe)
[Outro: will.i.am, Yandel & El Alfa]
Will.i.am (will.i.am)
Yandel (Yandel)
El Alfa (El Alfa)
Let's go, let's go
(Tú ere' la que la rompe, la rompe, la rompe, la rompe)
Oh-oh-oh
Pa'l mundo, papi, worldwide
Oh-oh-oh (Eh-eh)
(La que la rompe, la rompe, la rompe, la rompe)
NEON16
Chael
Ey"
3,493,1674545,¿Por Qué Tan Triste?,Gloria Trevi,De Película,,https://genius.com/Gloria-trevi-por-que-tan-triste-lyrics,,"Pero tengo de acero la carrocería
Tengo un letrero que si lo prendo
Dice que voy ""libre para tu vida""
Puedo sacarte de algún infierno
Para llevarte al mismo cielo
No soy un pájaro, no soy avión
Pero soy más fuerte que una locomotora
Puedo escucharte, puedes hablarme
Guardo secretos de consejos
Con buena intensión
Y si me cuadras de pasajero
Yo puedo abriste mis sentimientos
Y desahogarnos, ¡salud! con unos tragos
Pues más que hermanos, somos extraños
Libre, libre, libre, libre, libre
Libre, libre, libre, libre, libre
Libre, libre, libre, libre, li…
Pa' delante, dale, dale
De reversa, venga, venga
Golpe avisa, golpe avisa
No soy un pájaro, no soy avión
Pero igual puedo volar por toda la ciudad
Llegar tan alto como tus sueños
Y si me caigo, me levanto
Pero te hago llegar
Y si me cuadras de pasajero
Yo puedo abrirte mis sentimientos
Y desahogarnos, ¡salud! con unos tragos
Pues más que hermanos, somos extraños}
Libre, libre, libre, libre, libre
Libre, libre, libre, libre, libre
Libre, libre, libre, libre, li
Pa' delante, dale, dale
De reversa, venga, venga
Golpe avisa, golpe avisa
Tengo un trasero más que bueno
Y una defensa de a deberás
Un peluchito en el tablero
Con perfumito vainillero
Si te lo arrimo y se te para
Mi carrito ruletero no te falla
Yo te llevo a donde quiera
Que tú vayas
¡Arrímenselas!
Pa' delante, dale, dale
De reversa, venga, venga
Golpe avisa, golpe avisa
¡Dónde está el pajarito!
¡No soy un palo, pero me gustan los pajaritos!"
4,116,806776,BPM,Daddy Yankee,Prestige,2012-09-11,https://genius.com/Daddy-yankee-bpm-lyrics,http://www.youtube.com/watch?v=KstgG_0TW8U,"[Intro]
Bonita, ¡ueh ueh! (Como un)
Bonita cinturita, ¡ay!
Bonita, ¡ueh ueh! (Daddy)
Bonita cinturita ¡ahi! (Go)
Bonita, ¡ueh ueh!
Bonita cinturita, ¡ayi!
Bonita, ¡ueh ueh!
Bonita (¡Fuego!)
(¡Vamos!) Que aguante, que aguante, ¡el fuego!
(Daddy, ¡dile!) Que aguante, que aguante, ¡el fuego!
B-P-M-M, B-P-M, ¡Fuego! (Come on!)
¿Qué-Qué-Qué? Let's go!
[Verso 1]
Hay fuego en la disco, siguelo
Tengo un ritmo que pone a retumbar to' ese bum-bum
Porque to' ese cuerpo tiembla como sismo
La zona se calienta, demasiado de violenta
Acelera rápido, dale muevelo rápido
Acelera mas rápido, dale muevelo rápido, ehh
[Pre-Coro]
¿Quieres-Quieres más? Te lo doy-doy
Si pide más hasta abajo es que me voy-voy
Soy dinamita para ti, sí, lo soy-soy, yeah!
Eléctrica, magnética, ¡fuimos!
[Coro]
Pégate, baila conmigo, baby
Suéltate, baila conmigo, baby
Pégate, baila conmigo, baby
Suéltate, baila conmigo, ¡fuego!
[Post-Coro]
Que aguante, que aguante, ¡el fuego!
(Let's move! Let's go!) Que aguante, que aguante, ¡el fuego!
B-P-M-M, B-P-M, ¡Fuego! (DY)
Zu-Zumba! Hey! Oh!
[Verso 2]
El verano está caliente, la playa está caliente
Tu bikini matando, ese cuerpo está caliente
Quemando balas, salvaje, desovediente
Mas si mueve la cinturita como una serpiente
Acelera rapido, dale muevelo rapido
Acelera más rapido, dale muevelo rapido, ehh
Sigue la rumba activa por acá
Si quieres zumba, que voy para allá
Vamos al desorden, todas que aborden
Moviendo el bote, pa' alante y pa' atrá', ¡ouh!
[Coro]
Pégate, baila conmigo, baby
Suéltate, baila conmigo, baby
Pégate, baila conmigo baby
Suéltate, baila conmigo, baby
[Post-Coro]
Baila conmigo, baby
(Yeh, yeh, yeh; Tiki-Tiki-Ta) Baila conmigo, baby
(Tiki-Tiki-Ta, yo, tiki-tiki-ta) Baila conmigo, baby
Baila con—
[Puente]
Nos fuimo' a vapor, siente el calor
Sube la corriente, prende el motor
Nos fuimo a vapor, siente el calor
Sube la corriente, prende el motor
Acelera rápido, dale muevelo rápido
Acelera mas rápido, dale muevelo rápido, ehh
[Pre-Coro]
¿Quieres-Quieres más? Te lo doy-doy
Si pide más hasta abajo es que me voy-voy
Soy dinamita para ti, sí, lo soy-soy, yeah!
Eléctrica, magnética, !fuimos!
[Coro]
Pégate, baila conmigo baby
Suéltate, baila conmigo baby
Pégate, baila conmigo baby
Suéltate, baila conmigo ¡fuego!
[Outro]
Como quema, como quema
Como quema, quema, ¡el fuego!
Como quema, como quema
Como quema, quema, ¡el fuego!
B-P-M-M
B-P-M, ¡fuego!
DY, zumba
Bonita, ¡ueh ueh!
Bonita cinturita, ¡ay!
Bonita, ¡ueh ueh! (Daddy!)
Bonita cinturita, ¡ay! (Go!)
Bonita, ¡ueh ueh!
Bonita cinturita, ¡ay!
Bonita, ¡ueh ueh!"
5,629,8427265,La Suzi,Ozuna (Ft. Nesi),OzuTochi,2022-10-07,https://genius.com/Ozuna-la-suzi-lyrics,http://www.youtube.com/watch?v=COTvjYBVaCw,"[Intro: Ozuna]
Ozuna
[Pre-Coro: Ozuna]
Tú le tira' y no contesta (Tira y no contesta)
Son tanto' tirando al DM, nunca ve la respuesta (Nunca la respuesta, ah)
Ya no quiere compromiso (Eh, eh)
Ella lo que quiere es tussi, mari, Perco, molly (Molly)
Pa' estar bien loca en el party
'Tá bien suelta, lo veo en su story (Eh, eh, ja)
Mai, dime qué tú quiere', porque
[Coro: Nesi & Ozuna]
Papi, contigo quiero (Woh-oh)
Yo quiero, yo quiero (Woh-oh-oh)
Papi, contigo quiero (Woh-oh-oh)
Yo quiero, yo quiero (Eh, eh)
Ay mami, contigo quiero (Woh-oh)
Contigo quiero
Dale, mami (Mami), contigo quiero (Woh-oh)
Contigo quiero
[Verso 1: Ozuna]
Pantalla' en los pеzone', quiere quе se le note
Ella se puso spicy, cumplió los diecinueve, 'tá afuegote
Sube foto' que se le ve to' el culote
Toa' las amiga' tienen que pasar la prote
Atenta si le llega La Suzi
Un día 'e rola', otro día de tussi
Es stripper, pero no vende la pussy
Solo dime qué tú quiere', baby
[Coro: Nesi & Ozuna]
Papi, contigo quiero (Woh-oh)
Yo quiero, yo quiero (Woh-oh-oh)
Papi, contigo quiero (Woh-oh-oh)
Yo quiero, yo quiero (Eh, eh)
Ay mami, contigo quiero (Woh-oh-oh)
Contigo quiero
Dale, mami (Mami), contigo quiero (Woh-oh)
Contigo quiero
[Puente: Ozuna]
Y dime qué tú quiere'
Mari, Perco, molly
Tussi, mari, Perco, molly
Tussi, mari, Perco, molly
Perco, molly, Perco, molly
Pa'-Pa' estar bien loca en el party
Pa'-Pa' estar bien loca en el party
Pa'-Pa' estar bien loca en el party
Tussi, mari, tussi, mari
[Verso 2: Nesi]
Mo-Molly, Perco, mari (Ah)
Si tú quiere' te convierto en mi daddy
En la foto no tiro commentary (Ah)
La madre de quien me dañe el party
Sin mi 602 no me pongo contenta
Lo que pase entre tú y yo lo grabamo' en cámara lenta
[Coro: Nesi & Ozuna]
Papi, contigo quiero
Yo quiero, yo quiero
Papi, contigo quiero
Yo quiero, yo quiero
Ay mami, contigo quiero
Contigo quiero
Dale, mami, contigo quiero
Contigo quiero
Dime qué tú quiere'"
6,42,805900,Golpe de Estado,Daddy Yankee (Ft. Tommy Viera),Barrio Fino (Bonus Track Version),2004-07-13,https://genius.com/Daddy-yankee-golpe-de-estado-lyrics,http://www.youtube.com/watch?v=H7whz81IOKg,"[Intro: Daddy Yankee, Tommy Viera]
(Yankee, saca los fuletes)
Daddy! Daddy Yankee!
¡El Cangri!
(Tommy, saca los fuletes)
Presentando a Tommy Viera
Yankee, saca los fuletes, nos fuimos algarete
(El LeBron James del género)
Nelly, saca los fuletes, nos fuimos algarete
(Come on, man!)
Tommy, saca los fuletes, nos fuimos algarete
Luny, saca los fuletes
(Come on!)
Tommy Viera!
[Verso 1: Tommy Viera]
Listo con mi batallón, preparense pa'l golpe de estado
Esta pendeja' termina en rifles y comenzó con palos
No quieren la riña con el indio de los aspectos malos
Saco, es obliga'o que enrreda'o mueran por el criminal
Viera, lirico que en alto promedio te encampana el grado
Tiro la intrusión de bombas atómicas que los está matando
Barrios y caseríos, son las calles que está acompañando
Al incordio majadero del flow que da castigo
No se duerman, suban de afuera, por la orilla 'e la arena
Que donde el agua está serena muerden las pirañas
Mejor ando solo, la pago solo
Y no confío en nadie mas que en el metal que cargo solo
[Coro: Tommy Viera, Daddy Yankee]
Yankee, saca los fuletes, nos fuimos algarete
Nelly, saca los fuletes, nos fuimos algarete
Tommy, saca los fuletes, nos fuimos algarete
Luny, saca los fuletes
Yankee, mátalos, con ritmo mátalos
Con flow suenalos, en la disco, y tirame el dembow
Se activaron, mis cangris no creen en perdón
Suelta bala, guerilla, y tirame el dembow (Daddy!)
Tommy, mátalos, con ritmo mátalos
Con flow suénalos, en la disco, y tírame el dembow
Se activaron, mis cangris no creen en perdón
Suelta bala, guerilla, y tírame el dembow
Tommy, saca los fuletes, nos fuimos algarete
Nelly, saca los fuletes, nos fuimos algarete
Yankee, saca los fuletes, nos fuimos algarete
Luny, saca los fuletes
[Verso 2: Daddy Yankee & Tommy Viera]
Empezo la cazería, diseñate mañana un buen gabán
Mi caballería abusa más que el imperio alemán
La alta jerarquía reconocida como Los Cangris
Salte de la vía que vamos con actos Kamikaze
Aprendan de esta escuela, que es la más duro que suena
Salimos contra cualquiera, así que eviten los problemas
Que hoy en día, aunque no sea noche buena
Los lechones en la calle con plomo se rellenan
Impacto, intacto, suelto en el acto
En canto aplasto a estos que dicen rimar y tener flow
Rapto y mato, pa' dar sangre al pacto
Por eso es que no creo en ningún motherfucker
El más versátil, guerrero de la estamina volátil
Poner las reglas, entrega'o como Lansky
Pa' mí esto es como un chamaquito el candy
Ustedes suenan bien, pero no como Los Cangris
[Coro: Daddy Yankee & Tommy Viera]
Tommy, mátalos, con ritmo mátalos
Con flow suénalos, en la disco, y tírame el dembow
Se activaron, mis cangris no creen en perdón
Suelta bala, guerilla, y tirame el dembow
Yankee, mátalos, con ritmo mátalos
Con flow suénalos, en la disco, y tírame el dembow
Se activaron, mis cangris no creen en perdón
Suelta bala, guerilla, y tírame el dembow
Tommy, saca los fuletes, nos fuimos algarete
Nelly, saca los fuletes, nos fuimos algarete
Yankee, saca los fuletes, nos fuimos algarete
Luny, saca los fuletes
[Outro: Daddy Yankee]
Tommy Viera!
Los Cangris
Daddy Yankee!
Empezó la presión
You know how we do, man
Sin titubeo, sin juego
A quedarnos con el canto
Tommy Viera!
Daddy Yankee!
Come on!"
7,781,7927935,Un Ratito,Bad Bunny,Un Verano Sin Ti,2022-05-06,https://genius.com/Bad-bunny-un-ratito-lyrics,http://www.youtube.com/watch?v=tGhyQ7KanMU,"[Intro]
Yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah
Ey
[Pre-Coro]
Quizás yo vuelva con mi ex
Y no te vuelva a ver (Y no te vuelva a ver)
Quizá no te importa, quizá te va a doler
[Coro]
Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito
Pero siempre hay algo que lo interrumpe, eh
Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito (Pero, pero)
Pero siempre hay algo que lo interrumpe, eh
[Verso 1]
Pa' mí que yo nací pa' estar solo
No hay una loca pa' este loco
El tiempo se va y queda poco
Baby, vamo' a hacerlo otra ve', a chingar otra ve'
Porque mañana quizá no vo'a estar
La luz se puso roja, hay que parar
O si quiere' nos bajamo' y podemo' perrear
Baby, esto no fue normal
[Puente]
Con cualquiera no me acuesto, a cualquiera no le meto
Ni le cuento mis secreto'
Me pongo feliz cuando llegan tus texto'
Porque
Con cualquiera no me acuesto, a cualquiera no le meto
Ni le cuento mis secreto'
Me pongo feliz cuando llegan tus texto'
O cuando en cuatro te lo meto
[Verso 2]
Ey, y te moja' to'a
Contigo me voy a toda', ey
Espero que lo haya' pasa'o bien
Y en verdad te haré bien, pero
Mi vida es complicada, tú no va' a entender
Un poco inestable como puede' ver (Puede' ver)
Mami, fue rico conocerte
Pero no sé si vuelva a verte
[Coro]
Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito
Pero siempre hay algo que lo interrumpe, eh
[Outro]
Pa' mí que yo nací pa' estar solo (Solo)
(Pa' mí que yo nací pa' estar solo)"
8,697,3814588,Mayor Que Yo (New Generation),"Farruko (Ft. Alexio, Arcángel & Ozuna)",,2017-08-20,https://genius.com/Farruko-mayor-que-yo-new-generation-lyrics,https://soundcloud.com/piffymusiccom/ozuna-arcangel-farruko-alexio-la-bruja-mayor-que-yo-new-generation,"[Intro: Farruko & Ozuna]
(New Generation, let go)
Este menor que usted
La quiere conocer
Con su forma de actuar
Me va a enloquecer
La tengo en mi soñar
Acaricio su piel
Le quiero confesar
Yo
[Estribillo: Ozuna & Farruko]
No me importa que usted sea mayor que yo (¡Farru!)
Hoy la quiero en mi cama (Colombia)
No malinterpretes mi intención (Latinos)
Que ya no aguanto las ganas
Por eso he venido a decírtelo
Que hoy la quiero en mi cama
Y si está dispuesta, ya dímelo
Que ya no aguanto las ganas
Dame un chance
[Verso 1: Alexio La Bestia]
Beba, llegó la bruja, el terror de todo' estos lames
Mayor que yo te que vamono' al toma y dame
Yo no soy ese viejo suelta ese pellejo
A que te secuestro y te llevo pa' lejos
No me huyas no me corras
No te asuste con la gafigorra
Que yo no te estoy dando cotorra
Vamo' a jugar a la lucha
De la discoteca pa' la ducha
Hasta que el cielo azul se ponga fucha
El cory de golden, muchachos aborden
De la organizacion Luny soy el desorden
Estoy enfermo, venga cureme señora
Suelteme banda y vera que el menor le enamora
[Verso 2: Arcángel]
No te vo'a decir mi edad, pero ella tiene 35
Y aun asi en la cama me deja gringo
Parece atleta, ella se pasa dando brincos
Pero todo cambia cuando yo la finco
También tiene 3 hijos, ¡guau! que inoportuno
Pero por suerte no soy el papa 'e ninguno
Aunque eso no importa yo corro con la cuenta
Le doy pa'l el pelo, pa' las uñas y pa' la renta
Y no importa que ella sea mayor que yo
Nadie se lo hace como yo
Esa señora me la como de almuerzo
Ahora lo digo yo llegaron los refuerzos
[Estribillo: Ozuna]
No me importa que usted sea mayor que yo
Hoy la quiero en mi cama
No malinterpretes mi intención
Que ya no aguanto las ganas
Por eso he venido a decírtelo
Que hoy la quiero en mi cama
Y si está dispuesta, ya dímelo
Que ya no aguanto las ganas
Dame un chance
[Verso 3: Farruko]
Ay mama, llego el nene
Pa' azotarte y lo tuyo darte
Tu quiere fuerte deja turete
Tu me quiere a mi pues salve de juguete
Porque yo, lo meneo, como tu no novio no lo hace
Y yo, la azoto como tu novio no lo hace
Y yo te tengo bien envicia'
Tu a mi no me va querer soltar
Tu puedes ser mi mamá
Y yo que ando buscando una mamá
Que sea buena y me coja en adopción
Y como dice Ozuna que se repita la ocasión
[Pre-Estribillo: Ozuna]
Este menor que usted
La quiere conocer
Por su forma de actuar
Me va a enloquecer
La tengo en mi soñar
Y acaricio su piel
Le quiero confesar
Yo
[Estribillo: Ozuna & Farruko]
No me importa que usted sea mayor que yo
Hoy la quiero en mi cama (Colombia)
No malinterpretes mi intención (Latinos)
Que ya no aguanto las ganas
Por eso he venido a decírtelo
Que hoy la quiero en mi cama
Y si está dispuesta, ya dímelo
Que ya no aguanto las ganas
Dame un chance"
9,51,804767,Fuera de Control,Daddy Yankee,El Cartel: The Big Boss,2007-06-05,https://genius.com/Daddy-yankee-fuera-de-control-lyrics,http://www.youtube.com/watch?v=1J_HpDakrFo,"[Intro]
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
[Coro]
¿Qué es lo que le pasa a mi bebé?
Ella me llama pidiendo más
Lo que tú quieras, mami, te lo doy
Solamente déjate llevar
No existe nadie que te pare (No)
Mami me gusta tu flow (Tu flow)
Tu eres la única que me pone (Yeah)
Fuera de control
[Verso 1]
Ahora es que la cosa se pone caliente
Ella es maliciosa, se hace la inocente
Media escandalosa y sabe ponerme (Yeah)
Fuera de control
¿Quién mejor que yo, ma', sabe complacerte?
Vente pa' acá que tengo mil cosas que hacerte
No perdamos el tiempo, porque quiero verte (Yeah)
Fuera de control
Con lo mio claro que soy celoso
Venga a las manos del fabuloso
En verdad estas comible
Tú te ves como mi flow, ma', super increíble (Ha)
[Coro]
¿Qué es lo que le pasa a mi bebé?
Ella me llama pidiendo más
Lo que tú quieras, mami, te lo doy
Solamente déjate llevar
No existe nadie que te pare (No)
Mami me gusta tu flow (Tu flow)
Tu eres la única que me pone (Yeah)
Fuera de control
[Verso 2]
Pongase relax y pegate ma'
Aquí hay capital para irnos hasta el final
Tú me pones mal y ya puedo imaginar
Los dos amanecidos pegaitos como animal
Esta vez nos fuimos a lo loco
Suavecito, poco a poco
Me provocas. te provoco
Comportate ma', que me desenfoco
Vamos, sin miedo dale
En este juego todo se vale
Y ella me envuele, no sé que hace
Pero me pone fuera de control
[Coro]
¿Qué es lo que le pasa a mi bebé?
Ella me llama pidiendo más
Lo que tú quieras, mami, te lo doy
Solamente déjate llevar
No existe nadie que te pare (No)
Mami me gusta tu flow (Tu flow)
Tu eres la única que me pone (Yeah)
Fuera de control
[Puente]
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby?
¿Qué tú quieres, baby? (Ah)
¿Qué tú quieres, baby? (Daddy)
¿Qué tú quieres, baby? (Cartel)
Fue de Control
¿Qué tú quieres, baby? (We are ready)
¿Qué tú quieres, baby?
¿Qué tú quieres, baby? (Hey)
¿Qué tú quieres, baby? (Este es el único artista)
¿Qué tú quieres, baby?
¿Qué tú quieres, baby? (Que solo, hace un dúo)
Fue de control
[Outro]
Este es Daddy, featuring Yankee
¡Cartel!
Fuera de control
El mas versátil
Superdota'o
Sigo haciendo que pierdan las esperanzas
Who's this? Mister Platino, yo"
