tuit,G,L,B,T,O
"—Bueno, pues ya pasó la euforia papá, ahora sí dime, este vestido es blanco o azul?
—Que me vale verga el color ya quítatelo pinche maricón!",1,0,0,0,0
"Esos de BTS se me hacen seres asexuales, eunucos o algo así todo raro.",0,0,0,0,1
La partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,1,0,0,0,0
"Se te acabo tu juego maldito joto asqueroso, esta me la pagas pq me la pagas, 🤭😡",1,0,0,0,0
@Lunaazulada_ Será a los jotitos.??ellos prefieren las banderillas.🤣🤣🤣🤣,1,0,0,0,0
Me regresa el acento colombiano! Maricas mal paridos,1,0,0,0,0
@Bob_Chavez tu cola :/ yo solo respeto a las lesbianas y mujeres bisexuales •3• Jajaja los jotos que.,1,0,0,0,0
"@goliveros Qué pena @goliveros, de verdad qué pena no cumplir con el estereotipo del hombre homosexual elegebetero, ideologizado,  unicornio, transgenerizado quedabien, que pide perdón por ser hombre, con el que tanto empatizas, pero como dice la canción, ""no soy monedita de oro"".",1,0,0,1,0
@jdonadus puro joto en tu foto de avatar !! Jajaja url,1,0,0,0,0
"las tragedias que marcaron el 2021.

-legalización del matrimonio homosexual.
-asalto al capitolio.
-protistas en cuba.
-Atlas y Cruz azul campeones.

por un 2022 lleno de bendiciones, éxitos y alegrías y por menos tragedias.",1,0,0,0,0
"Jefe, ese puñal es un botarate o sea, un PENDEJO. Saludos. url",1,0,0,0,0
"Your score : 67.101, Try again! I think you can do it well! url

Los reto pinches puñales: @samuelpi_ @markcups @santa_nero 
Saque 67, no sean tramposos y contesten que sacaron a la primera.",1,0,0,0,0
"¡QUÉ POCA MADRE! ¡PERO EL JOTO @ManceraMiguelMX Y LA MACHORRA DE LA @CDHDF PREFIEREN DEFENDER A LOS MALDITOS DELINCUENTES!

#PenaDeMuerteYa url",1,1,0,0,0
"Homosexual: persona que le gusta otra persona de su mismo sexo
Puto: el que lo lea 
#Mecausogracia #EHHHHHHPUTO!",1,0,0,0,0
Típico que van a jugar gotcha y se cubren como con 10 chalecos de kevlar los muy homosexuales.,1,0,0,0,0
@JoseRive_ @navarreted96 @ailed_merida Maricas ustedes yo no,1,0,0,0,0
"Es de jotitas muy corrientitas hablar y cortar palabras como ""obvi"" ""celu"" ""bendis"" o decir como locas palabras en inglés en una conversacion españurl Y si a eso le aunamos el tonito caguengue tipo mía colucci en versión url peor",1,1,0,0,0
PUTOS TODOOOOS,1,0,0,0,0
"Las famosas ""lesbianas"" no llegan a ser del todo homosexuales. Siempre querrán tener algo url Just saying. ¯\_(ツ)_/¯",0,1,0,0,0
@abraham_mel ni das nada maricon!!!,1,0,0,0,0
"Si la que te gusta tiene un amigo gay, automáticamente se vuelve una mamila en url",1,0,0,0,0
@_elan_ @OsirisMiguel Un mariquita menos :3,1,0,0,0,0
@silver_rwolf @CarlosQ04929914 @jjsc30 No le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas además nadie le pidió ke viera mis fotos. Mejor ke se ponga a trabajar viejo senil solo roba el oxígeno a los demás 😂,1,0,0,0,0
Pide a @Disney que no adoctrine a nuestros hijos con ideología de género en sus programas infantiles. FIRMA:  url …,0,0,0,0,1
"@GranTocin0 Por fin se te quito lo puto, celebro.",1,0,0,0,0
@kai_leonardo Uy un joto,1,0,0,0,0
@victormonroy1 P.D. Activa la cuenta de puto grupito pinché maricon cobarde,1,0,0,0,0
Hay mujeres que parecen travestis 😧🤭 #SorryNotSorry,0,0,0,1,0
Los trolebuses del desgobierno de @EPN son idiotas. Uno se pone Valeria y dice que tiene pito O es travesti o tiene el clitoris desarrollado,0,0,0,1,0
"Si la gente supiera que eres un marica que manda Biblias por WhatsApp, se te caería tu teatro de ""Me siento bien vergas""",1,0,0,0,0
Porqué será. url de maricones. ...😠😬 url,1,0,0,0,0
"@LaTortilleriaQ si vamos a hacer un vagón ""seguro"" que incluya a hombres gay y saquen a lenchas

/@0ctavioGuerra @appleninde @InmujeresCDMX",1,1,0,0,0
"Vato marica metiendose con una url
#LordCafe 

A ver si la raza saca quien es. url",1,0,0,0,0
Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,0,1,0,0,0
"@valndin Esos que te dijeron eso son gay, los hombres no rajamos y diles que digo yo. url",1,0,0,0,0
@hectorghs @BullyingFutbol pinches jotos.,1,0,0,0,0
"Por puto, por joto, porque así es Méurl lo sé. #Must por el maestro @fdelcollado url vía @mexicopuntocom",1,0,0,0,0
Si quieren que tome su opinión en cuenta procuren no ser unas locas que andan enseñando las nalgas en redes sociales. ¿Ven por qué la gente nadie respeta a la comunidad LGBT? Porque se comportan como unas prostitutas sacadas de Sodoma y Gomorra.,1,1,1,1,1
@mvegab17 @iloveRamgsi Que marica.,1,0,0,0,0
Nunca había visto a tanto maricon reunido.,1,0,0,0,0
@pereaoficial jajajaja url puto,1,0,0,0,0
@alexduartte ta bueno joto despues lo veo,1,0,0,0,0
@Fer_Gay @TheRock @AlexMonthy A mí @HectorTrejo me inspiró recordándome esta canción: url,0,0,0,0,1
"Transitan echándote las luces largas segun tienen prisa,te rebasan a lo menso y adelante los alcanzas en el semáforo, tan mas #mariquitas",1,0,0,0,0
Ando de mariquita oyendo música romáurl saben quien soy ahora ?,1,0,0,0,0
Otro joto obsesionado con su peso. Wurl,1,0,0,0,0
Estupido marica mentiroso ignorante  @realDonaldTrump como confunde 911 una tragedia tan marcada para EU y #NewYork url,1,0,0,0,0
@davidolin65 @Cherry_Lune @DanielCoach3 @edufabila11 espero dejes de contestar con esa imagen de maricón y ya entrenes,1,0,0,0,0
No es posible que un #gay no se sepa las #canciones de @GloriaTrevi !!!!! 🙄,1,0,0,0,0
"url

#eitLife Me gustaría  que no existirán los gays; diputada de Morena url",1,0,0,0,0
"@_TioGamboin Al menos los de acá de Oaxaca no nacemos tan mongoles y gays como un tal ""Gamboín"" te podemos hacer desde un ""taco al pastor"" (de trompo tienes el cuerpo) hasta darte tu ""sushi"" claro su- url 🌶 😂😂",1,0,0,0,0
Vergas con el Gay que me acaba de hablar?,1,0,0,0,0
En un universo alterno @AlxnGxrcix es chairo y @dobbyloca no se volvió puñal.,1,0,0,0,0
Pinches jotos #CivilWar #TeamIronMan #TeamStark url,1,0,0,0,0
Hay algún jugador más puto y maricon que Gago???? @MatiDiGia,1,0,0,0,0
"Neologismos.
Maricomio : psiquiátrico para locas, maricas y gays.
Apapuchar: Acción de consentir al pubis.
Sopervisor: supervisor torpe.
@lacornetafm @jrsestaca @EVIDEGARAY #nuevoneologismodehoy",1,0,0,0,1
@PepeMontalvo @cometa_ es un puñal.,1,0,0,0,0
