id,lyrics completos
501,"Lyrics
Me quieres? Te quiero
Por ti yo siento un cariño
Desde que éramos niños yo
Te quiero y también te amo
¿Y tú me quieres? Te quiero
Aunque muy poco nos vemos
Desde que nos conocemos yo
Te quiero y también te extraño
Es tan hermoso saber
Que te piensa otro ser
Y al fin de este siglo
Tú y yo somos alguien
Que tienen y sienten cariño sincero
Por eso siempre tu y yo
Vivimos así felices serenos
Tu cuentas conmigo yo cuento contigo
En cualquier instante
Y en cualquier terreno
¿Me quieres? Te quiero
Porque eres bueno conmigo
Pongo el amor de testigo que
Te quiero y también te amo
¿Y tú me quieres? Si te amo
Confirmo a diario lo mismo
Estoy a tu mismo ritmo soy
Tu amigo y también tu hermano
Este cariño nació
El día en que dios cruzo los caminos
Y puso tus ojos tus manos tu canto
Y tu verso en mi si no valió la pena nacer
Por el hecho de ser
Tú y yo más que amigos
Cosas de la vida
Cosas de la suerte
De esas cosas bellas
Que tiene el destino
"
502,"Me refugié en tu juventud
Con tanto amor con tanto amor
Que ahora estoy donde estas tu
De sol a sol
De sol a sol
Tú llegaste en el momento mas preciso
Cuando más yo necesito compresión
Yo ya estaba decepcionada de la vida
Sin creer nunca más en el amor
Yo he querido muchas veces y otras veces me han querido
Pero todas esas veces fueron con sabor a olvido
Tu me tratas diferente tu no eres como esa gente
Que busca tan solamente una aventura y nada mas
Nunca pude enamorarme nunca tuve nada en serio
Siempre que de amor me hablaron
Fueron palabras sin hechos
Tú eres todo lo contrario justo lo que yo pedía
Todo el tiempo que rezaba y no se me concedía
Gracias a dios llegaste tú
Con tanto amor con tanto amor
Tú llegaste en el momento mas preciso
Cuando más yo necesito compresión
Yo ya estaba decepcionada de la vida
Sin creer nunca más en el amor
Yo he querido muchas veces y otras veces me han querido
Pero todas esas veces fueron con sabor a olvido
Tu me tratas diferente tu no eres como esa gente
Que busca tan solamente una aventura y nada mas
Nunca pude enamorarme nunca tuve nada en serio
Siempre que de amor me hablaron
Fueron palabras sin hechos
Tú eres todo lo contrario justo lo que yo pedía
Todo el tiempo que rezaba y no se me concedía
Gracias a dios llegaste tú
Con tanto amor con tanto amor
Que ahora estoy donde estas tu
De sol a sol
De sol a sol
"
503,"Cuanta siembra hay en el campo
Que de agua lleva el rió
Que chulo se ve mi rancho
Esta vez si que ha llovido
¿Sabes por qué?
Porque me encantas
Cuando me dices cuanto me quieres
El cielo canta
Bonito el amanecer
Oye y de los pajaritos
Contentos por ver nacer
Otro día pa’ tus ojitos
¿Sabes por qué?
Porque me gustas
Y no te digo cuanto cariño santo
Porque te asustas
Que hermosa quedo la casa
Del ranchito tuyo y mío
Que bueno que la pintamos
De blanco con amarillo
¿Sabes por qué?
Porque te amo
Todos los animales
Corren o vuelen son mis hermanos
Que bien quedo el portal
Con sus lindas bugambilias
A mi las que me gustas
Son las lila y amarrillas
¿Sabes por qué?
Porque te quiero
Tanto que si te vas
Y no vienes pronto me desespero
Que chula se ve la luna
Colgando allá en la montaña
Que lindo es amanecer
Junto a ti cada mañana
¿Sabes por qué?
Porque me amas
Así se pone bonito
Todito el campo y la sabana
Que hermosa quedo la casa
Del ranchito tuyo y mío
Que bueno que la pintamos
De blanco con amarillo
¿Sabes por qué?
Porque me gustas
Y no te digo cuanto cariño santo
Porque te asustas
Que chula se ve la luna
Colgando allá en la montaña
Que lindo es amanecer
Junto a ti cada mañana
¿Sabes por qué?
Porque me amas
Así se pone bonito
Todito el campo y la sabana
Que hermosa quedo la casa
Del ranchito tuyo y mío
Que bueno que la pintamos
De blanco con amarillo
¿Sabes por qué?
Porque te amo
Todos los animales
Corren o vuelen son mis hermanos
"
504,"Nada ha sido en serio
Todo fue una broma
Que bien me engañó
Yo hubiera metido
Las manos al fuego
Por él y su amor
Nada ha sido en serio
Todo fue una broma
Que clase de persona
Él se creé que soy
Cuando vio que hablaba
De mi amor en serio
En ese momento me miró y se rió
Me dijo es broma
Nada ha sido en serio
Como crees paloma
Que te quiero yo
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te guiña un ojo
Y como una guitarra poquito a poco
Te coge y te toca y hace una canción
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te da un besito
Te dice te quiero y poco a poquito
Se mete adentro se va hasta el fondo
De tu corazón
Nada ha sido en serio
Todo fue una broma
Que clase de persona
Él se creé que soy
Cuando vio que hablaba
De mi amor en serio
En ese momento me miró y se rió
Me dijo es broma
Nada ha sido en serio
Como crees paloma
Que te quiero yo
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te guiña un ojo
Y como una guitarra poquito a poco
Te coge y te toca y hace una canción
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te da un besito
Te dice te quiero y poco a poquito
Se mete adentro se va hasta el fondo
De tu corazón
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te guiña un ojo
Y como una guitarra poquito a poco
Te coge y te toca y hace una canción
Así son los hombres
Todos son iguales
Pero que bonito se siente
Cuando uno te da un besito
Te dice te quiero y poco a poquito
Se mete adentro se va hasta el fondo
De tu corazón
"
505,"A la orilla de una playa
Tú me diste el corazón
Que lo llevo a donde vaya
Porqué tiene una razón
Que es un lindo y buen recuerdo
De aquél sueño que yo tuve
Y por culpa del destino
Realizarlo yo no pude
Santa Mónica es la playa
Donde me dejo pensando
No me llama ni me escribe
Será que me esta olvidando
Santo niñito
Mírale guíale cuídale
Porque le quiero
Santo niñito
Dile que cuando se canse
De su andar aquí le espero
Hace más de siete meses
Que se fue ya no ha venido
Me parece que fue un sueño
El haberle conocido
Dicen que pa’ Zacatecas
Ya se fue pero otros cuentan
Que anda allá por san francisco
Que de vez en vez le encuentran
Santo niñito
Mírale guíale cuídale
Porque le quiero
Santo niñito
Dile que cuando se canse
De su andar aquí le espero
Ya me estoy volviendo loco
De tanto y tanto buscarle
Yo quizás le importe poco
Pero yo quiero mirarle
Ese corazón de piedra
Ayer lo lleve a la playa
No me trajo buena suerte
Ahora a ver quien diantre lo haya
Santo niñito
Mírale guíale cuídale
Porque le quiero
Santo niñito
Dile que cuando se canse
De su andar aquí le espero
"
506,"Quisiera estar afuera de tu casa
Escondida para cuando salgas
Verte verte
Quisiera ser el agua que tú bebes
Para besar los labios que tú tienes
Beberte beberte
Quisiera ser eso que a ti te gusta
Para ser yo lo que tú siempre buscas
Tu suerte tu suerte
No me digas que nunca vas hacer mío
En dios creo y en ti confío
De que eso no será así
Hay no me digas que nunca voy a tenerte
Porque me causas la muerte
Y no me quiero morir
Mi vida puede ser un gran fracaso
Y si de veras tú jamás me hicieras caso
La muerte la muerte
Quisiera que de mi te enamoraras
O por lo menos que tú me dejaras
Quererte quererte
Yo quiero muchas cosas en la vida
Pero una de ellas es la más querida
Tenerte tenerte
No me digas que a ti no te importa nada
Que este de ti enamorada
Porque podría ser fatal
No me digas que nunca vas a quererme
Porque podría yo perderme
Hasta acabar un día mal
No me digas que nunca vas hacer mío
En dios creo en ti confió
De que eso no será así
Hay no me digas que nunca voy a tenerte
Porque me causas la muerte
Y no me quiero morir
"
507,"Una mujer rechazada
Es más peligrosa
Que un animal salvaje
Debes tener cuidado hijito mío
Pa’ que no te pase
Lo que le paso a un cuñado mío
Dejo a su mujer
Como deja el río
El agua correr
Por el sembradío
El ya estaba cansado
De tantos celos de tanta intriga
Y un día se fue a la mar
Se metió a nadar
Conoció a una amiga
Que le hizo cantar
Y olvidar su pena
Y se enamoró de esa mujer buena
Y así se salvó
De esa cruel condena
Se fueron baile y baile
Baile y que baile
A San Juan pueblito
Y ahí miro la mañana
Y una gitana de ojos bonitos
Que le dijo ven
Por una moneda
Te voy a decir lo que a ti te espera
Vas hacer feliz
Como tú antes eras
Ámense tal como son
El que persevera alcanza
Donde celos no hay amor
No se tengan desconfianza
No se dejen engañar
Porque todo es por demás
Nadie es de nadie
No se les olvide
Que hombre y mujer
Han nacido libres
La otra te pide que vuelvas
Más que pronto a su lado
Pero tu estas de esta otra
Totalmente enamorado
Te dice que la perdones
Todo lo que ella te hizo
Tú no eres rencoroso
Ni tampoco olvidadizo
Ay no no no
Quien va a volver
Ni loco que yo estuviera
Que volver ni que volver
Ay no no no
Quien va a volver
Ni que en este mundo hubiera
Nada más que esa mujer
Aquella es una testaruda
Ignorante y prepotente
Caprichosa y corajuda
Mal pensada e imprudente
Esta en cambio es amorosa
Intuitiva inteligente
Servicial y cariñosa
Y además es obediente
Ay no no no
Quien va a volver
Ni loco que yo estuviera
Que volver ni que volver
Ay no no no
Quien va a volver
Ni que en este mundo hubiera
Nada más que esa mujer
"
508,"Que seas muy feliz estés donde estés cariño
No importa que ya no vuelvas jamás conmigo
Deseo mi amor que sepas también que te amo
Que no te olvidé que nunca podré te extraño
Que seas muy feliz que encuentres amor mi vida
Que nunca mi amor te digan adiós un día
Perdóname mi amor por todo el tiempo que te amé te hice daño
Te amé de más y fue mi error
Que soledad estoy sin ti lo estoy pagando
Que seas muy feliz que seas muy feliz
Mientras que yo
Te sigo amando
Deseo mi amor que sepas también que te amo
Que no te olvide que nunca podré te extraño
Perdóname mi amor por todo el tiempo que te amé y te hice daño
Te amé de más y fue mi error
Que soledad estoy sin ti lo estoy pagando
Que seas muy feliz que seas muy felices
Mientras que yo
Te sigo amando
"
509,"Lola el otro dia me dio mezcal de la palma
Y cante y baile con banda
Y se me alboroto hasta el alma
Desde nabolato vengo
Dicen que naci en el roble
Me dicen que soy arriero
Por que le chiflo y se para
Si les a viento el sombrero
Ya veran como repara
Hay hay hay mama por dios
Por dios que borracho vengo
Que me siga la tambora
Que me toquen el quelite
Despues el niño perdido
Y por ultimo el torito
Pa' que vean como le brinco
Hay hay hay mama por dios
Me dicen enamorado
Pero de eso nada tengo
Tambien me dicen el negro
El negro pero con suerte
Y ami aunque me salga un gallo
No me le rajo a la muerte
Hay hay hay mama por dios
Por dios que borracho vengo
Que me siga la tambora
Que me toquen el quelite
Despues el niño perdido
Y por ultimo el torito
Para que vean como le brinco
Hay hay hay mama por dios
Soy del mero sinaloa
Donde se rompen las olas
Y busco una que ande sola
Y que no tenga marido
Pa' no estar comprometido
Cuando resulte la bola
Hay hay hay mama por dios
Por dios que borracho vengo
Que me siga la tamborra
Que me toquen el quelite
Despues el niño perdido
Y por ultimo el torito
Para que vean como le brinco
Hay hay hay
Hay hay hay
"
510,"Al gran amor de mi vida
Le dedico esta canción
Y sin equivocación
Llegue hasta su corazón
Como prueba de este amor
Háblame de ti
Cuéntame
Qué ha sido de tu vida
Sabes tú que sé
Que tú estas convencida
Sé que tú no puedes
Ni aunque intentes olvidarme
Siempre volverás
Una y otra vez
Una y otra vez
Siempre volverás
Aunque ya no sientas más amor por mí
Solo rencor
Yo tampoco tengo nada que sentir
Y eso es peor
Pero te extraño
Cómo te extraño
No cabe duda
Que es verdad que la costumbre
Es más fuerte que el amor
Así es la vida
Todo tiene un principio y un fin
Más yo quería mi amor
Que a mi lado fueras muy feliz
Pero me conformo
Con saber que fuiste mía
Y que eres en mi vida
Todavía la más querida
No me vuelvo a enamorar
Totalmente para qué
Si la primera vez
Que entregué mi corazón
Me equivoqué
No me vuelvo a enamorar
Porque esta decepción
Me ha dejado un mal sabor
Me ha quitado el valor
De volverme a enamorar
Y ya jamás tropezaré
En nadie me fijaré
Ya no me vuelvo a enamorar
Fue un placer conocerte
Y tenerte unos meses
Aunque esos meses fueron
El principio y el fin
De un amor tan bonito
Aunque no me quisiste
Pero yo si te quise
Y hoy me tengo que ir
Si me hubieras querido
Cuando yo te pedía
Que me amaras un poco
Y que hicieras feliz
Yo me hubiera quedado
Para siempre contigo
Pero no fue posible
Y hoy me tengo que ir
Yo me hubiera quedado
Para siempre contigo
Pero no fue posible
Y hoy me tengo que ir
Adiós mi amor
Hoy con esta canción que escribí
Para ti
Mi amor
He venido a pedirte que perdones por favor
Por amor
Mi error
Mira
Sé que nunca tu querrás volver y
Yo quiero por último decirte amor que
Yo te seguiré amando adiós
Mi amor
Hoy con esta canción que escribí
Para ti mi amor
He venido a pedirte que perdones por favor
Por amor mi error y adiós
"
