song_id,title,artist,album,release_date,genius_url,media_url,lyrics
1,Mujer contra Mujer,Mecano,Descanso Dominical (Bonus Tracks Edition),1988.0,,https://www.youtube.com/watch?v=wVSA2CEIQ7U,"Nada tienen de especial
Dos mujeres que se dan la mano
El matiz viene después
Cuando lo hacen por debajo del mantel
Luego a solas, sin nada que perder
Tras las manos va el resto de la piel
Un amor por ocultar
Aunque en cueros, no hay donde esconderlo
Lo disfrazan de amistad
Cuando sale a pasear por la ciudad
Una opina que aquello no está bien
La otra opina que qué se le va a hacer
Y lo que opinen los demás está de más
Quien detiene palomas al vuelo
Volando a ras del suelo
Mujer contra mujer
No estoy yo por la labor
De tirarles la primera piedra
Si equivoco la ocasión
Y las hallo labio a labio en el salón
Ni siquiera me atrevería a toser
Si no gusto, ya sé lo que hay que hacer
Que con mis piedras hacen ellas su pared
Quien detiene palomas al vuelo
Volando a ras del suelo
Mujer contra mujer
Una opina que aquello no está bien
La otra opina que qué se le va a hacer
Y lo que opinen los demás está de más
Quien detiene palomas al vuelo
Volando a ras del suelo
Mujer contra mujer
Quien detiene palomas al vuelo
Volando a ras de suelo
Mujer contra mujer"
2,Cara a Cara - Debate Cristiano & Gay ,Apostoles del Rap,,,,https://www.youtube.com/watch?v=xBs_1k02MUs,"Está canción fue basada en la
Experiencia que he vivido con mi
Hermano pues él es gay
Quiero que hablemos sin rodeos,
Cara a cara, di lo que quieras decir,
No te guardes nada
Si piensas que me equivoco,
Que mi fe es un error,
Entonces compruebame
Que tú tienes la razon
(Gay)
Conservadores religiosos quieren
Que seamos igual que ustedes
Nos imponen sus creencias,
Sus ideas y sus leyes
No me hables de amor
Si odias, hipócrita eres una burla
No entiendes cómo nos sentimos,
Solo rechazas y juzgas
(Apostoles del Rap)
Tú también te contradices
Haces lo opuesto a lo que dices
Te burlas de nuestra fe,
Nos criticas y maldices
Eres tú el que está imponiendo que
Haya leyes nuevas no me pidas
tolerancia
Si tampoco tú toleras
(Gay)
Tú ni siquiera me conoces,
No sabes nada de mi,
No decidí ser así
Entiende que así nací
La genética no importa,
Puedo ser lo que yo quiera
Está sociedad retrograda
Debe cambiar su sistema
(Apostoles Del Rap)
Aunque cambies tu género
Y modifiques la ley
La biología no puede alterarse
con un papel"
3,Sólo soy una persona,Mecano,Mecano,1982.0,,https://www.youtube.com/watch?v=zfNUplGs0Sk,"No tengo motores a reacción
Nunca he querido ser un avión
Y no tengo escamas en la piel
Entre otra cosas, no soy un pez
Y no tengo asiento y no tengo ruedas
Porque no soy una moto
Estoy conformada en tres dimensiones
Porque no soy una foto
No tengo bolas de cristal
No soy un árbol de navidad
Es apagado mi color
Porque tampoco soy una flor
Y no quiero andar por entre las cloacas
Porque no soy una rata
Ni ir a parar al cubo de basura
Porque no soy una lata
No soy ni hombre ni mujer
Solo soy una persona
Solo soy una persona
Solo soy una persona
Solo soy una persona
No tengo botones que apretar
Ni organigramas que programar
No tengo manillas, ni hago ding-dong
Porque tampoco soy un reloj
Y no tengo mando para sintonías
Porque no soy una radio
Y no tengo sitio para mucha gente
Porque no soy un estadio
No soy ni hombre ni mujer
Solo soy una persona
Solo soy una persona
Solo soy una persona
Solo soy una persona"
4,Simplemente amigos,Ana Gabriel,Tierra de nadie,1988.0,,https://www.youtube.com/watch?v=_HQQBHjGYiU,"Siempre, como ya es costumbre día a día es igual
No hay nada que decir ante la gente es así
Amigos simplemente amigos y nada mas
Pero quien sabe en realidad, lo que sucede entre los dos
Si cada quien llegando la noche finge un adiós
Cuanto daría por gritarles nuestro amor
Decirles que al cerrar la puerta nos amamos sin control
Que despertamos abrazados, con ganas de seguir amándonos
Pero es que en realidad no aceptan nuestro amor
Siempre, con miradas siempre nos damos todo el amor
Hablamos sin hablar todo es silencio en nuestro andar,
Amigos simplemente amigos y nada mas
Pero quien sabe en realidad lo que sucede entre los dos
Si cada quien llegando la noche finge un adiós
Cuanto daría por gritarles nuestro amor
Decirles que al cerrar la puerta nos amamos sin control
Que despertamos abrazados, con ganas de seguir amándonos
Pero es que en realidad no aceptan nuestro amor
Que despertamos abrazados, con ganas de seguir amándonos
Pero es que en realidad no aceptan nuestro amor
Amigos"
5,La puteria,Octavio Mesa,Los Relajos Del Arriero Vol 1,2007.0,,https://www.youtube.com/watch?v=p6cUaaWbwQg,"[Intro]
Alex Mesa y Duver
Vamos con ese bajo
Jópale
[Verso 1]
Como yo he sido andariego, a mí ninguno me aterra
Yo saco el puto machete es pa' darle a un hijueperra
Ayer peleé con el diablo que dicen quizque es muy bravo
Qué hijueputa machetera que hasta lo dejé agüevado
Me tiré el carriel pa' atrás, el poncho me lo cantié
Y del primer machetazo el culo se lo boté
Di como cinco revuelos y le grité ""¡Ave María!""
Hasta que este jijueputa lo volví una porquería
[Coro]
Y el que no quiera creer o algo así parecido
Que se acerque para acá o me diga ""Malparido""
Y el que no quiera creer o algo así parecido
Que se acerque para acá o me diga ""Malparido""
[Interludio]
Zeider Grajales, un mensaje en Estados Unidos
Allá va, FernandoVerso 2]
Cuando el diablo se vio herido doblegó una mata 'e lulo
Le dio tanta berraquera y se mete de'o en el culo
Entonces pasé el machete a la otra mano izquierda
Y de un puto machetazo lo hice comer la mierda
Me tiré el carriel pa' atrás y el poncho me lo cantié
Y del pramir machetazo el culo se lo boté
Di como cinco revuelos y le grite ""¡Ave María!""
Antes que la gente viera lo volví una porquería
[Coro]
Y el que no quiera creer o algo así parecido
Que se acerque para acá y me diga ""Malparido""
Y el que no quiera creer o algo así parecido
Que se acerque para acá y me diga ""Malparido""
[Interludio]
Octavio Mesa y Víctor Medina
Nos vemos en el Mundial
[Verso 3]
Cuando el diablo se vio herido sobre una mata 'e lulo
Le dio tanta berraquera, se metió el dedo en el culo
Entonces pasé el machete a la otra mano izquierna
Y de un puto machetazo lo hice comer la mierda
Me tiré el carriel pa' atrás, el quito me lo cantié
Y del primer machetazo la cola se la boté
Di como cinco revuelos, antes que la gente viera
Con la punta del machete le pinté una calavera [Coro]
Y el que no quiera creer o algo así parecido
Que se acerque para acá y me diga ""Malparido""
Y el que no quiera creer o algo así parecido
Que se acerque para acá y me diga ""Malparido"""
6,Play a la puteria,Human Kyle,,2024.0,,https://www.youtube.com/watch?v=vLpn86ucero0,"Hola puta
¿Vamos por unos chakales súper cukis o que? Amiguitzi, como crees, yo ya cambié
A)
Prohibido amiga
Que comience la putería
Play a la putería
Play a la putería
Play a la putería
Hoy se posa el coño, pausa
Y mueve las tetas, pausa
Y mueve el coño, pausa
Y mueve las tetas, pausa
Hoy se posa el coño, pausa
Uhh, ahh (y lo sabes bebé)
Uhh, ahh (y lo sabes bebé)
Ah, ah, ah, y lo sabes de mujer LO)
Que comience la putería
(Muaaa)
Que comience la putería
Play a la putería
Play a la putería
Play a la putería
Hoy se posa el coño, pausa
Y mueve las tetas, pausa
Y mueve el coño, pausa
Y mueve las tetas, pausa
Hoy se posa el coño, pausa
Uhh, ahh (y lo sabes bebé)
Uhh, ahh (y lo sabes bebé)
Ah, ah, ah, y lo sabes de mujer Umm, pausa (Y lo sabes bebé, ¡Ya!) Que comience la putería"
7,Ritmito,La Más Draga,La más Draga 6,2023.0,,https://www.youtube.com/watch?v=8d6db06ys9I,"Le pedí al DJ un ritmito para olvidarme de ti
Le pedí al DJ un ritmito para olvidarme de ti (uno, uno, two, tres)
Que tonta que fuí (cabrón)
¿Cómo te creí? (Pendejo)
Hoy salgo con mis mamis bien coquetas por ahí
Suena el ritmito y le hago así
Me muevo y le hago así
Así, así, suena el ritmito y le hago así
Brilloteando andamos a full
Con mis mamis modo Kill Bill
Me veo sexy pasándola cool
No me llames que ando bien chido
Fuí a gastarme unos pesitos
Voy a darme unos besitos (mua)
Yo no te necesito
Yo, yo, yo no te necesito
Ya, ya tengo con quien bailar
Y también que me hable bonito
Miu, miu
Guau, guau
Ya tu sa, ya tu sa
ありがとう, しみ, しみ
S'il vu plait, コニチワ
Le pedí al DJ un ritmito para olvidarme de ti
Le pedí al DJ un ritmito para olvidarme de ti
Que tonta que fuí (cabrón)
¿Cómo te creí? (Pendejo)
Hoy salgo con mis mamis bien coquetas por ahí
Suena el ritmito y le hago así
Me muevo y le hago así
Así, así, suena el ritmito y le hago así
Así, así bien coqueta le hago así
Ritmito
Ritmito
(Con mis mamis modo Kill Bill)
(Me veo sexy pasándola cool)
(Con mis mamis modo Kill Bill)
(Me veo sexy pasándola cool)
Soy la 360, la que te calienta
Soy la generala, la capitana, la sargenta
La que te coquetea y te paga la cuenta
La que se menea en cámara lenta
No quiero slow, no le des slow
Ando bien puesta, lista pa'l show
No quiero slow, no le des slow
Perdón, si lo repito no te alcanza el flow"
8,Suertuda,Stupidrag,SUERTUDOTA,2022.0,,https://www.youtube.com/watch?v=DZXqr_JVDGk,"Incendia esa trompetita
No sabes cómo me excita
El ritmo que necesitas
Es esto que te calcina
¿Suertuda yo porque estoy dispuesta?
Mi amor, no, suertudo tú
Porque estoy de oferta
Quítame lo malo
Cuando te des cuenta
Que aquí hay 54
Pero yo soy la que cuenta, auh
Ya quiero entrar y tu alma tocar
Ya lo logré y no puedo esperar
Cierra la boca, voy a pasar
Ya ves, no soy mala, vas a disfrutar (vas a disfrutar)
Aletea, preciosa
Aletea, mi amor
Duele y te está gustando
Mi fuego te está quemando (ya)
Duele y te está gustando
Es parte de mi encanto
Duele y te está gustando
El sonido te está avisando
Duele y te está gustando
Las de nervios estamos llegando
Las de nervios estamos llegando
Las de nervios estamos llegando
¿Quiénes son las de nervios?
Pues somos todas
¿Suertude yo porque estoy dispuesta?
Mi amor, no, suertudo tú
Porque te das cuenta
Quién de todas baila
Y quién solo perrea
Y con mi guaracha que se ataquen
Y yo por hecha
Incendia esa trompetita (¡ay, qué rico!)
Tú sabes cómo me excita (ah)
El ritmo que necesitas
Es esto que te calcina
Ah, ya, ya, ya, ya, ya
Sentiste el calor
Soy una explosión
Y nunca lo dudes, el fuego soy yo
Si quieres bufar, para figurar
Te voy a obtener, no me voy a dejar
La cima ya he visto, y la voy a tocar
El fuego que tengo no se apagará
Ardiente pasión que te va a incinerar
Mi lengua es candente, ¿la quieres probar?
Girando te quedas y te atacará
Aletea, preciosa, siempre gritarán
Todos mis fogosos al verme llegar
Los prendo a toditos, lo puedes notar
Esto te dolerá y hasta te gustará
Si tú no te ubicas, te puedo ubicar
Ceniza serás, o dije La Más
El fuego está ardiendo
Se van a dejar
Incendia esa trompetita, ah (ay, ay)
Tú sabes como me excitan (viste)
El ritmo que necesitas (eh, eh)
Es esto que te calcina
Ándale, échale
Ándale, échale
Ey mami, la que está allá girando
¡Aletea!
Ay, qué fortuna"
9,El que quiera entender que entienda,Mago de Oz,Finisterra,2000.0,,https://www.youtube.com/watch?v=z0v3nKCFb30,"¿Cuánto he de esperar?
Para al fin poder hallar
La otra mitad de mí
Que me acompañe a vivir
Nadé tiempo en un mar
De apariencia y ahogué el amor
No se puede ocultar
El perfume de una flor
¿Cuánto me cuesta sobrevivir?
¿Cuánto sonreír?
Sin poder quitarme el antifaz
Que me disfraza de normal
Y volveré a buscarte allí hasta donde estés
Tan solo quiero amarte y poder tener
Alguien en qué apoyarme, alguien en quien volcar
Todo el amor que cercenó el ""qué dirán""
No más miedo a entregar
Mis labios sin antes mirar
No más miedo a acariciar
Nuestros cuerpos y soñar
Y a la mierda con
El armario y el diván
Si hay que luchar
Luchar es educar
Que en asuntos del corazón
No hay regla de dos
Que somos distintos, somos iguales
No más guetos, alza la voz
Y volveré a buscarte allí hasta donde estés
Tan solo quiero amarte y poder tener
Alguien en qué apoyarme, alguien en quien volcar
Todo el amor que cercenó el ""qué dirán""
¡No!
Y cuando llegue el final
El otoño de nuestro amor
Yo te esperaré
Mientras, vive y lucha por tener
Derecho a elegir
Con qué cabeza tu almohada compartir
Orgulloso de ser quien eres
Y no como deberías ser
¿Cuánto me cuesta sobrevivir?
¿Cuánto sonreír?
Sin poder quitarme el antifaz
Que me disfraza de normal
Y volveré a buscarte allí hasta donde estés
Tan solo quiero amarte y poder tener
Alguien en qué apoyarme, alguien en quien volcar
Todo el amor que cercenó el ""qué dirán""
Y volveré a buscarte allí hasta donde estés
Tan solo quiero amarte y poder tener
Alguien en qué apoyarme, alguien en quien volcar
Todo el amor que cercenó el ""qué dirán"""
10,Libérate,Rafael Conde,Los 100 mayores éxitos de la copla,1998.0,,https://www.youtube.com/watch?v=RjbLdeOCDeY,"En las calles las pintadas
Están de moda hoy en día
Verdes, negras y coloradas
Pidiendo la autonomía
Hoy mismito he visto una
Ay, que me llegó al corazón
La verdad como ninguna
Y llenita de razón
Libérate, libérate
Ser ""sexual"" no es un delito
No lo calles
Lanza el grito ¡Yyyyyy!
Libérate, libérate
Si estás vivo
No estás muerto
A darle gusto a tu cuerpo
Lanza al aire tu pancarta
No la quieras ocultar
Y que un mal rayo le parta
A quien no quiera mirar
Libérate, libérate
No vivas más oprimido
Busca tu felicidad
Que aunque muchos te critiquen
El que lo prueba repite
Yo no sé por qué será
Las pintadas poco a poco
Paredes van embrollando
Si el mundo este ya estaba loco
Ahora lo están ensuciando
Y una que va armando guerra
Ay, si se pudiera lograr
Ya no iriamos a Inglaterra
Para podernos casar
Libérate, libérate
Ser ""sexual"" no es un delito
No lo calles
Lanza el grito ¡Yyyyyy!
Libérate, libérate
Si estás vivo
No estás muerto
A darle gusto a tu cuerpo
Lanza al aire tu pancarta
No la quieras ocultar
Y que un mal rayo le parta
A quien no quiera mirar
Libérate, libérate
No vivas más oprimido
Busca tu felicidad
Que aunque muchos te critiquen
El que lo prueba repite
Yo no sé por qué será. ¡Aaaa!"
