tweet,hate_speech,offensive_language,neither
as a woman you should not complain about cleaning up your house as a man you should always take the trash out,0,0,1
boy dats cold tyga dwn bad for cuffin dat hoe in the place,0,1,0
dawg you ever fuck a bitch and she start to cry you be confused as shit,0,1,0
she look like a tranny,0,1,0
the shit you hear about me might be true or it might be faker than the bitch who told it to ya,0,1,0
the shit just blows me claim you so faithful and down for somebody but still fucking with hoes,0,1,0
i can not just sit up and hate on another bitch i got too much shit going on,0,1,0
cause i am tired of you big bitches coming for us skinny girls,0,1,0
you might not get ya bitch back thats that,0,1,0
hobbies include fighting mariam bitch,0,1,0
keeks is a bitch she curves everyone lol i walked into a conversation like this smh,0,1,0
murda gang bitch its gang land,0,1,0
so hoes that smoke are losers yea go on ig,0,1,0
bad bitches is the only thing that i like,0,1,0
bitch get up off me,0,1,0
bitch nigga miss me with it,0,1,0
bitch plz whatever,0,1,0
bitch who do you love,0,1,0
bitches get cut off everyday b,0,1,0
black bottle a bad bitch,0,1,0
broke bitch cant tell me nothing,0,1,0
cancel that bitch like nino,0,1,0
cant you see these hoes wont change,0,1,0
fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up,0,1,0
got ya bitch tip toeing on my hardwood floors,0,1,0
her pussy lips like heaven doors,0,1,0
hoe what its hitting for,0,1,0
i met that pussy on ocean dr i gave that pussy a pill,0,1,0
i need a trippy bitch who fuck on hennessy,0,1,0
i spend my money how i want bitch its my business,0,1,0
i txt my old bitch my new bitch pussy wetter,0,1,0
i would say im back to the old me but my old bitches would get excited,0,1,0
if you aint bout that murder game pussy nigga shut up,0,1,0
if you are toes is not done you pussy stinks,0,1,0
im done with bitter bitches its a wrap for that if you a angry bird theres a app for that,0,1,0
is that ya bitch,0,1,0
it aint nothing to cut a bitch off,0,1,0
jus meet son now he ya mane ass bitches shots,0,1,0
lames crying over hoes thats tears of a clown,0,1,0
like snoop said in we dont love these hoes,0,1,0
momma said no pussy cats inside my doghouse,0,0,1
most hated but the hoes favorite sevenone,0,1,0
nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick,0,1,0
pimps up pimps up hoes down future voice,0,1,0
post a picture of that pussy get likes,0,1,0
pussy is a powerful drug happyhumpday,0,1,0
quick piece of pussy call it a drive by,0,1,0
running round here like some brand new pussy thats bout to get fucked,0,1,0
these bitches even worst they will send them guys for you,0,1,0
these hoes like niggas that spend money not talk bout it,0,1,0
we dont trust these niggas all these bitches,0,1,0
yall niggas b cuffing hoes cause yall aint never have bitches,0,1,0
you dodge a bullet all da bitches i cut off pregnant or bound to be thank god,0,1,0
young pill chamberlain these bitches love my music,0,1,0
teanna trump probably cleaner than most of these twitter hoes but,0,1,0
gay niggas could not wait to act like bitches tonight,0,1,0
and ima steal his cat n replace it with a pitbull he a bitch you should do it,0,1,0
he is gone always be a hoe,0,1,0
son of a bitch took my tic tacs i like this movie,0,1,0
all i wanna do is get money and fuck model bitches russell simmons,0,1,0
i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet,0,1,0
i am a fucking fag they said,0,1,0
females think dating a pussy is cute now how does doing this stuff make him a pussy,0,1,0
simplyaddictedtoguys woof woof hot scally lad,0,0,1
have ya ever asked your bitch for other bitches kanye voice yes,0,1,0
how u gone bring ur side bitch to a game where you know ya gf friends at i swear,0,1,0
woof woof and hot soles,0,0,1
lemmie eat a oreo do these dishes one oreo lol,0,0,1
bitch fuck u maybe you will get better just,0,1,0
fuck red malone man bitch ass niggah could you please use complete sentences,0,1,0
why the eggplant emoji doe y he say she looked like scream lmao,0,0,1
hennessey venom gt that is one sexy bitch,0,1,0
him seh me pussy wetter then a shower curtain ahmesehwetness lmao,0,1,0
eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit,0,1,0
yo fuck skateboarding all y all some wood pushing faggots man ball is life,0,1,0
baby monkey bathtime this is soo adorable,0,0,1
i is not shit damn skippy lol,0,1,0
u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b chance,0,1,0
rings mvps bitches lol,0,1,0
ppl talk bad about the ghetto hood but as a kid growing up a nigga had funn,0,1,0
the facts on tattoos tattoo he is a pussy with not tattooing them nipples,0,1,0
bitches be wanting to act like niggas so bad that shit aint cutee but niggas act like bitches,0,1,0
get worshiping bitch woof woof,0,1,0
wow i am lost are those buttcheek piercings yeah she is a hoe,0,1,0
ok sis she would rather be a broke bitch shrugs she will have to tell me how it works for her,0,1,0
queer gaywad,1,0,0
faggot read my tweets after dat k it was not even funny lol,0,1,0
this bitch was so ungrateful fr lulwhore,0,1,0
i been kidnapped yo bitch,0,1,0
